 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
667,8 pat OD ki67 (561)_0004_C001T001_colony_24.tiff,1678,156.024,54.338,39.318,8.773,0.866,427890,427890,1.382,0.724,0.966
668,8 pat OD ki67 (561)_0004_C001T001_colony_25.tiff,2464,188.309,67.876,46.221,128.901,0.873,628320,628320,1.469,0.681,0.970
669,8 pat OD ki67 (561)_0004_C001T001_colony_26.tiff,2400,184.995,63.906,47.816,19.340,0.881,612000,612000,1.336,0.748,0.970
670,8 pat OD ki67 (561)_0004_C001T001_colony_27.tiff,3331,237.421,80.924,52.409,121.144,0.743,849405,849405,1.544,0.648,0.920
671,8 pat OD ki67 (561)_0004_C001T001_colony_28.tiff,2723,196.652,67.881,51.075,103.967,0.885,694365,694365,1.329,0.752,0.974
672,8 pat OD ki67 (561)_0004_C001T001_colony_29.tiff,2517,195.823,67.188,47.698,177.586,0.825,641835,641835,1.409,0.710,0.947
673,8 pat OD ki67 (561)_0004_C001T001_colony_3.tiff,1934,167.439,58.053,42.417,22.040,0.867,493170,493170,1.369,0.731,0.966
674,8 pat OD ki67 (561)_0004_C001T001_colony_30.tiff,2451,189.581,65.119,47.923,96.469,0.857,625005,625005,1.359,0.736,0.968
675,8 pat OD ki67 (561)_0004_C001T001_colony_31.tiff,2226,183.723,65.795,43.077,51.937,0.829,567630,567630,1.527,0.655,0.953
676,8 pat OD ki67 (561)_0004_C001T001_colony_32.tiff,2769,198.309,68.050,51.809,40.359,0.885,706095,706095,1.313,0.761,0.972
677,8 pat OD ki67 (561)_0004_C001T001_colony_34.tiff,3196,211.622,70.029,58.108,125.411,0.897,814980,814980,1.205,0.830,0.974
678,8 pat OD ki67 (561)_0004_C001T001_colony_35.tiff,2491,189.823,65.675,48.293,16.604,0.869,635205,635205,1.360,0.735,0.971
679,8 pat OD ki67 (561)_0004_C001T001_colony_36.tiff,2647,194.894,67.783,49.721,35.709,0.876,674985,674985,1.363,0.734,0.972
