 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
658,1 pat p30 7 day ctrl 10x 3_colony_256.tiff,459,80.426,0.892,117045,117045,1.436,0.697,0.952,29.757,20.71
659,1 pat p30 7 day ctrl 10x 4_colony_257.tiff,271,63.255,0.851,69105,69105,1.558,0.642,0.922,24.94,16.235
660,1 pat p30 7 day ctrl 10x 4_colony_258.tiff,256,58.184,0.95,65280,65280,1.063,0.941,0.939,18.615,17.51
661,1 pat p30 7 day ctrl 10x 4_colony_259.tiff,722,101.64,0.878,184110,184110,1.389,0.72,0.944,35.735,25.725
662,1 pat p30 7 day ctrl 10x 4_colony_260.tiff,305,69.841,0.786,77775,77775,1.503,0.665,0.898,25.51,17.669
663,1 pat p30 7 day ctrl 10x 4_colony_261.tiff,251,57.598,0.951,64005,64005,1.239,0.807,0.944,21.663,17.515
664,1 pat p30 7 day ctrl 10x 4_colony_262.tiff,387,73.841,0.892,98685,98685,1.303,0.768,0.94,26.4,20.401
665,1 pat p30 7 day ctrl 10x 4_colony_265.tiff,239,57.598,0.905,60945,60945,1.308,0.764,0.93,21.262,15.929
666,1 pat p30 7 day ctrl 10x 4_colony_267.tiff,383,77.012,0.812,97665,97665,1.686,0.593,0.922,28.677,17.005
667,1 pat p30 7 day ctrl 10x 4_colony_268.tiff,325,69.012,0.858,82875,82875,1.311,0.763,0.93,23.294,17.764
668,1 pat p30 7 day ctrl 10x 4_colony_270.tiff,261,58.77,0.95,66555,66555,1.243,0.804,0.946,21.992,17.774
669,1 pat p30 7 day ctrl 10x 4_colony_272.tiff,286,62.426,0.922,72930,72930,1.158,0.864,0.936,22.49,19.362
670,1 pat p30 7 day ctrl 10x 4_colony_273.tiff,240,59.355,0.856,61200,61200,1.695,0.59,0.938,24.461,14.991
671,1 pat p30 7 day ctrl 10x 4_colony_274.tiff,191,51.355,0.91,48705,48705,1.395,0.717,0.929,19.523,14.478
672,1 pat p30 7 day ctrl 10x 4_colony_275.tiff,384,77.74,0.798,97920,97920,1.81,0.552,0.925,29.748,16.436
673,1 pat p30 7 day ctrl 10x 4_colony_276.tiff,258,60.77,0.878,65790,65790,1.569,0.637,0.935,22.7,14.471
674,1 pat p30 7 day ctrl 10x 4_colony_277.tiff,229,56.184,0.912,58395,58395,1.23,0.813,0.933,18.937,15.397
675,1 pat p30 7 day ctrl 10x 4_colony_278.tiff,196,51.698,0.922,49980,49980,1.317,0.759,0.936,19.865,15.447
676,1 pat p30 7 day ctrl 10x 4_colony_279.tiff,314,65.598,0.917,80070,80070,1.351,0.74,0.943,23.972,17.528
677,1 pat p30 7 day ctrl 10x 4_colony_280.tiff,416,76.184,0.901,106080,106080,1.45,0.69,0.954,28.635,20.142
678,1 pat p30 7 day ctrl 10x 4_colony_281.tiff,288,63.012,0.911,73440,73440,1.314,0.761,0.937,21.948,16.708
679,1 pat p30 7 day ctrl 10x 4_colony_282.tiff,203,52.527,0.925,51765,51765,1.271,0.787,0.929,18.124,14.261
680,1 pat p30 7 day ctrl 10x 4_colony_283.tiff,327,69.841,0.842,83385,83385,1.665,0.601,0.929,26.33,15.813
681,1 pat p30 7 day ctrl 10x 4_colony_284.tiff,282,63.941,0.867,71910,71910,1.49,0.671,0.942,25.54,19.493
682,1 pat p30 7 day ctrl 10x 4_colony_285.tiff,231,56.77,0.901,58905,58905,1.389,0.72,0.931,21.976,16.049
683,1 pat p30 7 day ctrl 10x 4_colony_286.tiff,298,65.012,0.886,75990,75990,1.457,0.686,0.937,25.776,18.079
684,1 pat p30 7 day ctrl 10x 4_colony_287.tiff,241,57.355,0.921,61455,61455,1.269,0.788,0.938,19.731,15.552
685,1 pat p30 7 day ctrl 10x 4_colony_288.tiff,200,53.941,0.864,51000,51000,1.427,0.701,0.911,22.056,16.914
686,1 pat p30 7 day ctrl 10x 4_colony_289.tiff,227,55.012,0.943,57885,57885,1.23,0.813,0.934,18.855,15.329
687,1 pat p30 7 day ctrl 10x 4_colony_290.tiff,424,80.669,0.819,108120,108120,1.643,0.609,0.93,29.779,18.129
688,1 pat p30 7 day ctrl 10x 4_colony_291.tiff,200,51.598,0.944,51000,51000,1.164,0.859,0.926,17.218,14.79
689,1 pat p30 7 day ctrl 10x 4_colony_292.tiff,251,59.598,0.888,64005,64005,1.403,0.713,0.926,23.101,16.81
690,1 pat p30 7 day ctrl 10x 4_colony_293.tiff,545,89.054,0.864,138975,138975,1.266,0.79,0.939,32.783,25.4
691,1 pat p30 7 day ctrl 10x 4_colony_294.tiff,340,76.083,0.738,86700,86700,1.734,0.577,0.883,27.395,15.802
691,1 pat p30 7 day ctrl 10x 4_colony_294.tiff,340,76.083,0.738,86700,86700,1.734,0.577,0.883,1.128,1.128
692,1 pat p30 7 day ctrl 10x 4_colony_295.tiff,353,72.77,0.838,90015,90015,1.501,0.666,0.93,25.974,17.304
693,1 pat p30 7 day ctrl 10x 4_colony_296.tiff,472,81.255,0.898,120360,120360,1.256,0.796,0.944,28.707,23.241
694,1 pat p30 7 day ctrl 10x 4_colony_297.tiff,228,55.113,0.943,58140,58140,1.232,0.811,0.944,18.915,15.348
695,1 pat p30 7 day ctrl 10x 4_colony_298.tiff,291,65.841,0.844,74205,74205,1.436,0.696,0.919,25.158,17.966
696,1 pat p30 7 day ctrl 10x 4_colony_299.tiff,281,63.841,0.866,71655,71655,1.488,0.672,0.924,24.837,16.968
697,1 pat p30 7 day ctrl 10x 4_colony_300.tiff,389,73.012,0.917,99195,99195,1.409,0.71,0.952,27.885,20.182
698,1 pat p30 7 day ctrl 10x 4_colony_301.tiff,313,65.598,0.914,79815,79815,1.401,0.714,0.944,26.395,19.729
699,1 pat p30 7 day ctrl 10x 4_colony_302.tiff,285,63.012,0.902,72675,72675,1.319,0.758,0.93,21.877,16.587
700,1 pat p30 7 day ctrl 10x 4_colony_303.tiff,354,72.326,0.85,90270,90270,1.361,0.735,0.916,24.77,18.196
701,1 pat p30 7 day ctrl 10x 4_colony_304.tiff,317,67.598,0.872,80835,80835,1.49,0.671,0.936,25.675,17.407
702,1 pat p30 7 day ctrl 10x 4_colony_306.tiff,228,57.941,0.853,58140,58140,1.212,0.825,0.898,18.759,15.475
703,1 pat p30 7 day ctrl 10x 4_colony_307.tiff,487,83.841,0.871,124185,124185,1.275,0.784,0.944,30.425,24.104
704,1 pat p30 7 day ctrl 10x 4_colony_308.tiff,479,84.184,0.849,122145,122145,1.682,0.595,0.951,32.025,19.044
705,1 pat p30 7 day ctrl 10x 4_colony_309.tiff,210,55.355,0.861,53550,53550,1.77,0.565,0.935,21.758,12.289
