 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
260,7 pat OD ki67 (561)_0011_C001T001_colony_21.tiff,2477,186.995,0.890,631635,631635,1.300,0.769,0.974
261,7 pat OD ki67 (561)_0011_C001T001_colony_22.tiff,1883,166.409,0.854,480165,480165,1.463,0.683,0.964
262,7 pat OD ki67 (561)_0011_C001T001_colony_23.tiff,2305,183.581,0.859,587775,587775,1.420,0.704,0.972
263,7 pat OD ki67 (561)_0011_C001T001_colony_24.tiff,2528,189.338,0.886,644640,644640,1.244,0.804,0.973
264,7 pat OD ki67 (561)_0011_C001T001_colony_25.tiff,3141,214.309,0.859,800955,800955,1.486,0.673,0.975
265,7 pat OD ki67 (561)_0011_C001T001_colony_26.tiff,2678,198.066,0.858,682890,682890,1.339,0.747,0.969
266,7 pat OD ki67 (561)_0011_C001T001_colony_3.tiff,2031,170.995,0.873,517905,517905,1.357,0.737,0.968
267,7 pat OD ki67 (561)_0011_C001T001_colony_4.tiff,2567,192.409,0.871,654585,654585,1.428,0.700,0.973
268,7 pat OD ki67 (561)_0011_C001T001_colony_5.tiff,2299,180.853,0.883,586245,586245,1.420,0.704,0.977
269,7 pat OD ki67 (561)_0011_C001T001_colony_6.tiff,4577,255.179,0.883,1167135,1167135,1.111,0.900,0.973
270,7 pat OD ki67 (561)_0011_C001T001_colony_7.tiff,2742,198.309,0.876,699210,699210,1.187,0.842,0.971
271,7 pat OD ki67 (561)_0011_C001T001_colony_8.tiff,2462,185.338,0.901,627810,627810,1.233,0.811,0.976
272,7 pat OD ki67 (561)_0011_C001T001_colony_9.tiff,2236,177.723,0.890,570180,570180,1.213,0.825,0.968
273,7 pat OD ki67 (561)_0012_C001T001_colony_1.tiff,2528,189.095,0.888,644640,644640,1.301,0.769,0.975
274,7 pat OD ki67 (561)_0012_C001T001_colony_10.tiff,3095,211.338,0.871,789225,789225,1.357,0.737,0.974
275,7 pat OD ki67 (561)_0012_C001T001_colony_11.tiff,2481,190.267,0.861,632655,632655,1.364,0.733,0.965
276,7 pat OD ki67 (561)_0012_C001T001_colony_12.tiff,2600,191.581,0.890,663000,663000,1.217,0.822,0.973
277,7 pat OD ki67 (561)_0012_C001T001_colony_13.tiff,3095,215.581,0.837,789225,789225,1.196,0.836,0.960
278,7 pat OD ki67 (561)_0012_C001T001_colony_14.tiff,2554,188.409,0.904,651270,651270,1.142,0.876,0.974
279,7 pat OD ki67 (561)_0012_C001T001_colony_15.tiff,2602,194.652,0.863,663510,663510,1.489,0.672,0.975
280,7 pat OD ki67 (561)_0012_C001T001_colony_16.tiff,2267,181.095,0.869,578085,578085,1.360,0.735,0.966
281,7 pat OD ki67 (561)_0012_C001T001_colony_17.tiff,2806,201.095,0.872,715530,715530,1.334,0.749,0.976
282,7 pat OD ki67 (561)_0012_C001T001_colony_19.tiff,2417,182.853,0.908,616335,616335,1.124,0.890,0.975
283,7 pat OD ki67 (561)_0012_C001T001_colony_2.tiff,2484,186.167,0.901,633420,633420,1.355,0.738,0.976
284,7 pat OD ki67 (561)_0012_C001T001_colony_20.tiff,2502,189.823,0.873,638010,638010,1.350,0.741,0.972
285,7 pat OD ki67 (561)_0012_C001T001_colony_21.tiff,1843,165.095,0.850,469965,469965,1.321,0.757,0.955
286,7 pat OD ki67 (561)_0012_C001T001_colony_22.tiff,3294,214.309,0.901,839970,839970,1.164,0.859,0.977
287,7 pat OD ki67 (561)_0012_C001T001_colony_23.tiff,2048,172.510,0.865,522240,522240,1.352,0.740,0.961
288,7 pat OD ki67 (561)_0012_C001T001_colony_24.tiff,2538,198.510,0.809,647190,647190,1.697,0.589,0.966
289,7 pat OD ki67 (561)_0012_C001T001_colony_25.tiff,2164,173.924,0.899,551820,551820,1.163,0.860,0.971
290,7 pat OD ki67 (561)_0012_C001T001_colony_26.tiff,2973,206.167,0.879,758115,758115,1.349,0.741,0.976
291,7 pat OD ki67 (561)_0012_C001T001_colony_27.tiff,2555,211.238,0.720,651525,651525,1.447,0.691,0.954
292,7 pat OD ki67 (561)_0012_C001T001_colony_28.tiff,2734,195.338,0.900,697170,697170,1.285,0.778,0.978
293,7 pat OD ki67 (561)_0012_C001T001_colony_29.tiff,2385,183.480,0.890,608175,608175,1.323,0.756,0.971
294,7 pat OD ki67 (561)_0012_C001T001_colony_3.tiff,2567,194.652,0.851,654585,654585,1.308,0.765,0.951
295,7 pat OD ki67 (561)_0012_C001T001_colony_4.tiff,3026,211.924,0.847,771630,771630,1.572,0.636,0.977
296,7 pat OD ki67 (561)_0012_C001T001_colony_5.tiff,2359,182.267,0.892,601545,601545,1.290,0.775,0.974
297,7 pat OD ki67 (561)_0012_C001T001_colony_6.tiff,3184,213.380,0.879,811920,811920,1.297,0.771,0.973
298,7 pat OD ki67 (561)_0012_C001T001_colony_7.tiff,2293,178.409,0.905,584715,584715,1.067,0.937,0.971
299,7 pat OD ki67 (561)_0012_C001T001_colony_8.tiff,2586,195.681,0.849,659430,659430,1.504,0.665,0.973
300,7 pat OD ki67 (561)_0012_C001T001_colony_9.tiff,2477,191.480,0.849,631635,631635,1.509,0.663,0.970
301,7 pat OD ki67 (561)_0013_C001T001_colony_1.tiff,3358,219.966,0.872,856290,856290,1.304,0.767,0.974
302,7 pat OD ki67 (561)_0013_C001T001_colony_10.tiff,2159,177.823,0.858,550545,550545,1.472,0.679,0.969
303,7 pat OD ki67 (561)_0013_C001T001_colony_12.tiff,2842,200.652,0.887,724710,724710,1.294,0.773,0.975
304,7 pat OD ki67 (561)_0013_C001T001_colony_13.tiff,2479,187.338,0.888,632145,632145,1.286,0.777,0.973
305,7 pat OD ki67 (561)_0013_C001T001_colony_14.tiff,1803,158.610,0.901,459765,459765,1.180,0.847,0.971
306,7 pat OD ki67 (561)_0013_C001T001_colony_15.tiff,2806,197.338,0.905,715530,715530,1.152,0.868,0.976
307,7 pat OD ki67 (561)_0013_C001T001_colony_16.tiff,2840,200.066,0.892,724200,724200,1.171,0.854,0.971
308,7 pat OD ki67 (561)_0013_C001T001_colony_17.tiff,2371,184.652,0.874,604605,604605,1.442,0.694,0.974
309,7 pat OD ki67 (561)_0013_C001T001_colony_19.tiff,3424,221.037,0.881,873120,873120,1.376,0.727,0.976
310,7 pat OD ki67 (561)_0013_C001T001_colony_2.tiff,2679,195.723,0.879,683145,683145,1.490,0.671,0.977
311,7 pat OD ki67 (561)_0013_C001T001_colony_20.tiff,5512,278.250,0.895,1405560,1405560,1.161,0.861,0.980
312,7 pat OD ki67 (561)_0013_C001T001_colony_21.tiff,2182,178.510,0.860,556410,556410,1.399,0.715,0.971
313,7 pat OD ki67 (561)_0013_C001T001_colony_22.tiff,3081,208.894,0.887,785655,785655,1.182,0.846,0.971
314,7 pat OD ki67 (561)_0013_C001T001_colony_23.tiff,2250,178.752,0.885,573750,573750,1.264,0.791,0.972
315,7 pat OD ki67 (561)_0013_C001T001_colony_24.tiff,2158,174.510,0.890,550290,550290,1.243,0.804,0.972
316,7 pat OD ki67 (561)_0013_C001T001_colony_3.tiff,2283,182.409,0.862,582165,582165,1.438,0.696,0.971
317,7 pat OD ki67 (561)_0013_C001T001_colony_4.tiff,2442,184.752,0.899,622710,622710,1.064,0.940,0.972
318,7 pat OD ki67 (561)_0013_C001T001_colony_5.tiff,3012,205.823,0.893,768060,768060,1.203,0.831,0.972
319,7 pat OD ki67 (561)_0013_C001T001_colony_6.tiff,2133,174.267,0.883,543915,543915,1.387,0.721,0.974
320,7 pat OD ki67 (561)_0013_C001T001_colony_7.tiff,2291,184.995,0.841,584205,584205,1.441,0.694,0.967
321,7 pat OD ki67 (561)_0013_C001T001_colony_8.tiff,2725,196.894,0.883,694875,694875,1.229,0.813,0.970
322,7 pat OD ki67 (561)_0013_C001T001_colony_9.tiff,2804,198.066,0.898,715020,715020,1.265,0.790,0.977
323,7 pat OD ki67 (561)_0014_C001T001_colony_1.tiff,2542,188.167,0.902,648210,648210,1.096,0.912,0.973
324,7 pat OD ki67 (561)_0014_C001T001_colony_10.tiff,2040,167.338,0.915,520200,520200,1.184,0.845,0.973
325,7 pat OD ki67 (561)_0014_C001T001_colony_11.tiff,1512,144.125,0.915,385560,385560,1.084,0.923,0.969
326,7 pat OD ki67 (561)_0014_C001T001_colony_12.tiff,2249,180.167,0.871,573495,573495,1.249,0.801,0.968
327,7 pat OD ki67 (561)_0014_C001T001_colony_13.tiff,2161,172.267,0.915,551055,551055,1.172,0.853,0.976
328,7 pat OD ki67 (561)_0014_C001T001_colony_14.tiff,1869,160.853,0.908,476595,476595,1.063,0.941,0.971
329,7 pat OD ki67 (561)_0014_C001T001_colony_15.tiff,1640,150.267,0.913,418200,418200,1.074,0.931,0.970
330,7 pat OD ki67 (561)_0014_C001T001_colony_16.tiff,1772,158.167,0.890,451860,451860,1.194,0.837,0.966
