 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,target
30,colony_941.tiff,1752,157.095,0.892,446760,446760,1.178,0.849,0.963,1
31,colony_942.tiff,3037,208.309,0.88,774435,774435,1.311,0.763,0.974,1
32,colony_943.tiff,4810,273.622,0.807,1226550,1226550,1.506,0.664,0.934,1
33,colony_944.tiff,2215,181.095,0.849,564825,564825,1.443,0.693,0.96,1
34,colony_945.tiff,2012,220.693,0.519,513060,513060,1.458,0.686,0.896,1
35,colony_946.tiff,1898,164.167,0.885,483990,483990,1.262,0.793,0.965,1
36,colony_947.tiff,1247,134.368,0.868,317985,317985,1.054,0.949,0.952,1
37,colony_948.tiff,1175,136.953,0.787,299625,299625,1.518,0.659,0.955,1
38,colony_949.tiff,2059,172.51,0.869,525045,525045,1.431,0.699,0.968,1
39,colony_95.tiff,1756,161.338,0.848,447780,447780,1.238,0.808,0.948,1
40,colony_950.tiff,1199,185.238,0.439,305745,305745,2.116,0.473,0.783,1
41,colony_951.tiff,1658,157.095,0.844,422790,422790,1.246,0.802,0.947,1
42,colony_952.tiff,2355,183.581,0.878,600525,600525,1.235,0.81,0.97,1
43,colony_953.tiff,1236,132.125,0.89,315180,315180,1.09,0.918,0.953,1
44,colony_954.tiff,1542,152.51,0.833,393210,393210,1.553,0.644,0.95,1
45,colony_955.tiff,1292,137.196,0.863,329460,329460,1.143,0.875,0.943,1
46,colony_956.tiff,1400,142.711,0.864,357000,357000,1.416,0.706,0.961,1
47,colony_957.tiff,2932,203.137,0.893,747660,747660,1.103,0.907,0.972,1
48,colony_958.tiff,2004,170.409,0.867,511020,511020,1.354,0.738,0.966,1
49,colony_959.tiff,1407,139.439,0.909,358785,358785,1.197,0.835,0.966,1
50,colony_96.tiff,2345,181.581,0.894,597975,597975,1.255,0.797,0.972,1
51,colony_960.tiff,2663,223.622,0.669,679065,679065,1.239,0.807,0.927,1
52,colony_961.tiff,2208,184.024,0.819,563040,563040,1.685,0.593,0.971,1
