 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
81,7 pat p30 7 day ctrl 10x 1_colony_174.tiff,197,52.184,0.909,50235,50235,1.351,0.74,0.918,18.406,13.627
82,7 pat p30 7 day ctrl 10x 1_colony_175.tiff,219,55.355,0.898,55845,55845,1.336,0.748,0.928,20.307,15.299
83,7 pat p30 7 day ctrl 10x 1_colony_176.tiff,182,49.113,0.948,46410,46410,1.235,0.81,0.933,18.226,14.81
84,7 pat p30 7 day ctrl 10x 1_colony_177.tiff,219,54.284,0.934,55845,55845,1.224,0.817,0.946,19.287,16.306
85,7 pat p30 7 day ctrl 10x 1_colony_178.tiff,231,56.527,0.908,58905,58905,1.185,0.844,0.935,21.53,17.564
86,7 pat p30 7 day ctrl 10x 1_colony_179.tiff,176,49.113,0.917,44880,44880,1.262,0.792,0.917,17.278,13.854
87,7 pat p30 7 day ctrl 10x 1_colony_18.tiff,256,59.941,0.895,65280,65280,1.417,0.706,0.941,21.493,15.165
88,7 pat p30 7 day ctrl 10x 1_colony_180.tiff,176,49.113,0.917,44880,44880,1.281,0.781,0.924,20.086,14.897
89,7 pat p30 7 day ctrl 10x 1_colony_182.tiff,173,47.698,0.956,44115,44115,1.21,0.826,0.935,17.29,14.065
90,7 pat p30 7 day ctrl 10x 1_colony_183.tiff,285,61.355,0.951,72675,72675,1.135,0.881,0.947,21.221,18.42
91,7 pat p30 7 day ctrl 10x 1_colony_184.tiff,244,58.184,0.906,62220,62220,1.399,0.715,0.931,20.844,14.904
92,7 pat p30 7 day ctrl 10x 1_colony_185.tiff,206,56.77,0.803,52530,52530,1.549,0.645,0.912,21.136,14.217
93,7 pat p30 7 day ctrl 10x 1_colony_186.tiff,175,48.527,0.934,44625,44625,1.086,0.92,0.931,15.559,14.321
94,7 pat p30 7 day ctrl 10x 1_colony_187.tiff,241,57.355,0.921,61455,61455,1.221,0.819,0.936,19.352,15.856
95,7 pat p30 7 day ctrl 10x 1_colony_189.tiff,155,44.284,0.993,39525,39525,1.162,0.861,0.942,16.089,14.007
96,7 pat p30 7 day ctrl 10x 1_colony_19.tiff,219,53.941,0.946,55845,55845,1.163,0.86,0.938,18.006,15.486
97,7 pat p30 7 day ctrl 10x 1_colony_190.tiff,312,64.184,0.952,79560,79560,1.114,0.898,0.947,21.038,18.883
98,7 pat p30 7 day ctrl 10x 1_colony_191.tiff,212,53.113,0.944,54060,54060,1.258,0.795,0.938,19.011,15.002
99,7 pat p30 7 day ctrl 10x 1_colony_192.tiff,208,51.941,0.969,53040,53040,1.14,0.877,0.941,17.379,15.238
100,7 pat p30 7 day ctrl 10x 1_colony_193.tiff,257,58.77,0.935,65535,65535,1.279,0.782,0.94,21.077,16.612
101,7 pat p30 7 day ctrl 10x 1_colony_194.tiff,207,53.355,0.914,52785,52785,1.273,0.785,0.922,19.577,15.349
102,7 pat p30 7 day ctrl 10x 1_colony_195.tiff,292,63.355,0.914,74460,74460,1.294,0.773,0.942,21.937,16.948
103,7 pat p30 7 day ctrl 10x 1_colony_196.tiff,216,55.598,0.878,55080,55080,1.52,0.658,0.925,20.444,13.453
104,7 pat p30 7 day ctrl 10x 1_colony_197.tiff,387,71.841,0.942,98685,98685,1.159,0.863,0.95,25.498,21.622
105,7 pat p30 7 day ctrl 10x 1_colony_198.tiff,382,73.841,0.88,97410,97410,1.45,0.69,0.943,27.894,19.399
106,7 pat p30 7 day ctrl 10x 1_colony_199.tiff,158,46.284,0.927,40290,40290,1.248,0.801,0.927,17.188,13.927
107,7 pat p30 7 day ctrl 10x 1_colony_2.tiff,248,58.77,0.902,63240,63240,1.347,0.743,0.929,21.664,16.163
108,7 pat p30 7 day ctrl 10x 1_colony_200.tiff,181,50.184,0.903,46155,46155,1.515,0.66,0.923,20.223,13.347
109,7 pat p30 7 day ctrl 10x 1_colony_201.tiff,198,51.113,0.952,50490,50490,1.103,0.906,0.945,16.679,15.115
110,7 pat p30 7 day ctrl 10x 1_colony_203.tiff,357,69.012,0.942,91035,91035,1.202,0.832,0.955,24.13,20.315
111,7 pat p30 7 day ctrl 10x 1_colony_204.tiff,167,46.87,0.955,42585,42585,1.229,0.814,0.938,17.021,14.363
112,7 pat p30 7 day ctrl 10x 1_colony_205.tiff,229,55.941,0.92,58395,58395,1.25,0.8,0.931,20.034,15.888
113,7 pat p30 7 day ctrl 10x 1_colony_206.tiff,229,56.284,0.908,58395,58395,1.329,0.753,0.937,20.515,15.888
114,7 pat p30 7 day ctrl 10x 1_colony_207.tiff,220,57.598,0.833,56100,56100,1.292,0.774,0.878,20.815,15.659
115,7 pat p30 7 day ctrl 10x 1_colony_208.tiff,261,59.355,0.931,66555,66555,1.191,0.84,0.937,19.891,16.707
116,7 pat p30 7 day ctrl 10x 1_colony_209.tiff,208,54.77,0.871,53040,53040,1.442,0.694,0.927,19.54,13.553
117,7 pat p30 7 day ctrl 10x 1_colony_21.tiff,304,63.355,0.952,77520,77520,1.124,0.89,0.95,21.702,19.068
118,7 pat p30 7 day ctrl 10x 1_colony_210.tiff,265,59.598,0.938,67575,67575,1.342,0.745,0.941,21.281,15.855
119,7 pat p30 7 day ctrl 10x 1_colony_212.tiff,189,51.113,0.909,48195,48195,1.402,0.713,0.926,18.369,13.1
120,7 pat p30 7 day ctrl 10x 1_colony_213.tiff,172,48.527,0.918,43860,43860,1.292,0.774,0.927,18.163,13.95
121,7 pat p30 7 day ctrl 10x 1_colony_214.tiff,206,52.527,0.938,52530,52530,1.25,0.8,0.938,18.966,15.307
122,7 pat p30 7 day ctrl 10x 1_colony_215.tiff,162,46.87,0.927,41310,41310,1.238,0.808,0.931,17.116,14.208
123,7 pat p30 7 day ctrl 10x 1_colony_216.tiff,245,57.355,0.936,62475,62475,1.261,0.793,0.94,19.833,15.728
124,7 pat p30 7 day ctrl 10x 1_colony_217.tiff,336,67.598,0.924,85680,85680,1.261,0.793,0.948,24.007,18.775
125,7 pat p30 7 day ctrl 10x 1_colony_218.tiff,206,53.113,0.918,52530,52530,1.323,0.756,0.938,19.857,15.26
126,7 pat p30 7 day ctrl 10x 1_colony_219.tiff,130,43.113,0.879,33150,33150,1.251,0.799,0.893,17.712,14.736
127,7 pat p30 7 day ctrl 10x 1_colony_22.tiff,190,50.284,0.944,48450,48450,1.222,0.818,0.941,18.296,15.519
128,7 pat p30 7 day ctrl 10x 1_colony_220.tiff,184,49.355,0.949,46920,46920,1.322,0.756,0.932,18.697,14.573
129,7 pat p30 7 day ctrl 10x 1_colony_221.tiff,210,53.113,0.935,53550,53550,1.238,0.808,0.944,19.865,16.216
130,7 pat p30 7 day ctrl 10x 1_colony_222.tiff,201,52.284,0.924,51255,51255,1.3,0.769,0.941,19.346,14.545
