 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,target,Major,Minor
279,colony_1248.tiff,3054,211.137,0.861,778770,778770,1.393,0.718,0.968,1,59.101,49.162
280,colony_1249.tiff,2161,180.995,0.829,551055,551055,1.385,0.722,0.957,1,58.262,37.741
281,colony_125.tiff,1825,162.167,0.872,465375,465375,1.246,0.803,0.956,1,49.501,37.836
282,colony_1250.tiff,3566,253.037,0.7,909330,909330,1.969,0.508,0.928,1,85.572,45.501
283,colony_1251.tiff,2346,195.48,0.771,598230,598230,1.805,0.554,0.956,1,72.39,40.436
284,colony_1252.tiff,1629,154.024,0.863,415395,415395,1.335,0.749,0.96,1,50.088,34.825
285,colony_1253.tiff,2091,175.137,0.857,533205,533205,1.475,0.678,0.968,1,58.133,38.307
286,colony_1254.tiff,2669,198.51,0.851,680595,680595,1.465,0.682,0.974,1,59.167,44.287
287,colony_1255.tiff,2234,180.167,0.865,569670,569670,1.38,0.725,0.969,1,60.315,44.098
288,colony_1256.tiff,2721,199.238,0.861,693855,693855,1.371,0.73,0.971,1,61.945,45.178
289,colony_1257.tiff,2059,178.167,0.815,525045,525045,1.587,0.63,0.952,1,60.615,38.251
290,colony_1258.tiff,1967,171.823,0.837,501585,501585,1.646,0.607,0.967,1,58.508,36.32
291,colony_1259.tiff,2436,188.167,0.865,621180,621180,1.366,0.732,0.967,1,62.624,47.027
292,colony_126.tiff,2508,192.894,0.847,639540,639540,1.49,0.671,0.97,1,67.35,43.859
293,colony_1260.tiff,1568,152.61,0.846,399840,399840,1.394,0.717,0.96,1,51.203,36.33
294,colony_1261.tiff,1992,182.61,0.751,507960,507960,2.115,0.473,0.969,1,71.509,33.687
295,colony_1262.tiff,2510,186.752,0.904,640050,640050,1.301,0.768,0.974,1,54.596,38.247
296,colony_1263.tiff,2313,189.723,0.808,589815,589815,1.679,0.596,0.963,1,69.9,40.529
297,colony_1264.tiff,2005,167.924,0.894,511275,511275,1.161,0.861,0.967,1,52.682,44.929
298,colony_1265.tiff,1542,159.338,0.763,393210,393210,1.213,0.824,0.912,1,47.55,39.201
299,colony_1266.tiff,2479,191.137,0.853,632145,632145,1.434,0.697,0.97,1,59.231,41.96
300,colony_1267.tiff,2240,181.095,0.858,571200,571200,1.405,0.712,0.97,1,62.145,42.369
301,colony_1268.tiff,2095,174.167,0.868,534225,534225,1.285,0.778,0.966,1,51.028,40.946
302,colony_1269.tiff,2834,203.137,0.863,722670,722670,1.068,0.937,0.963,1,58.937,55.542
303,colony_127.tiff,1830,162.267,0.873,466650,466650,1.425,0.702,0.969,1,56.127,38.383
304,colony_1270.tiff,2286,179.823,0.888,582930,582930,1.247,0.802,0.966,1,55.47,39.434
305,colony_1271.tiff,1980,166.267,0.9,504900,504900,1.109,0.902,0.971,1,49.368,45.108
306,colony_1272.tiff,1550,167.095,0.698,395250,395250,2.336,0.428,0.954,1,67.55,28.179
307,colony_1273.tiff,2685,209.966,0.765,684675,684675,1.805,0.554,0.943,1,76.877,37.348
308,colony_1274.tiff,2191,176.409,0.885,558705,558705,1.334,0.749,0.965,1,59.19,37.236
309,colony_1275.tiff,2436,192.066,0.83,621180,621180,1.576,0.634,0.968,1,69.398,43.721
310,colony_1276.tiff,2238,178.267,0.885,570690,570690,1.25,0.8,0.965,1,57.829,46.479
311,colony_1277.tiff,1984,170.167,0.861,505920,505920,1.332,0.751,0.963,1,54.936,40.281
312,colony_1278.tiff,1452,151.338,0.797,370260,370260,1.541,0.649,0.937,1,50.381,29.417
313,colony_1279.tiff,2101,173.924,0.873,535755,535755,1.233,0.811,0.961,1,52.266,37.394
314,colony_128.tiff,2406,183.823,0.895,613530,613530,1.296,0.771,0.973,1,59.63,44.883
315,colony_1280.tiff,1830,172.167,0.776,466650,466650,1.738,0.575,0.928,1,64.055,34.706
316,colony_1281.tiff,1984,172.167,0.841,505920,505920,1.433,0.698,0.968,1,53.467,37.53
317,colony_1282.tiff,1332,134.953,0.919,339660,339660,1.022,0.979,0.966,1,38.884,38.573
318,colony_1283.tiff,3177,289.179,0.477,810135,810135,2.504,0.399,0.858,1,94.766,36.827
319,colony_1284.tiff,1893,173.48,0.79,482715,482715,1.704,0.587,0.934,1,63.042,34.859
320,colony_1285.tiff,1616,153.439,0.863,412080,412080,1.304,0.767,0.959,1,45.42,36.723
321,colony_1286.tiff,1462,145.782,0.864,372810,372810,1.378,0.726,0.965,1,46.41,31.303
322,colony_1287.tiff,2158,177.48,0.861,550290,550290,1.523,0.656,0.968,1,62.337,39.747
323,colony_1288.tiff,2011,168.853,0.886,512805,512805,1.353,0.739,0.971,1,59.007,40.609
324,colony_1289.tiff,2171,179.48,0.847,553605,553605,1.517,0.659,0.966,1,61.256,40.303
325,colony_129.tiff,2195,188.894,0.773,559725,559725,1.824,0.548,0.953,1,70.821,37.521
326,colony_1290.tiff,2644,225.179,0.655,674220,674220,1.708,0.585,0.866,1,76.356,45.306
327,colony_1291.tiff,2300,183.238,0.861,586500,586500,1.336,0.749,0.967,1,54.512,44.308
328,colony_1292.tiff,2024,173.439,0.846,516120,516120,1.441,0.694,0.957,1,60.713,39.175
329,colony_1293.tiff,1903,171.723,0.811,485265,485265,1.586,0.631,0.94,1,59.761,36.901
330,colony_13.tiff,2132,182.51,0.804,543660,543660,1.264,0.791,0.944,1,56.867,42.182
331,colony_130.tiff,1593,149.539,0.895,406215,406215,1.227,0.815,0.965,1,48.073,38.457
332,colony_131.tiff,2142,174.894,0.88,546210,546210,1.29,0.775,0.963,1,51.238,41.598
333,colony_132.tiff,2359,186.853,0.849,601545,601545,1.491,0.671,0.971,1,59.231,39.553
334,colony_133.tiff,1948,168.167,0.866,496740,496740,1.336,0.749,0.969,1,53.026,35.225
335,colony_134.tiff,1887,165.338,0.867,481185,481185,1.456,0.687,0.965,1,57.278,37.923
336,colony_135.tiff,1972,170.61,0.851,502860,502860,1.561,0.641,0.971,1,60.469,38.427
337,colony_136.tiff,2052,191.095,0.706,523260,523260,2.328,0.43,0.963,1,71.668,31.623
338,colony_137.tiff,2161,182.894,0.812,551055,551055,1.555,0.643,0.95,1,64.42,41.526
339,colony_138.tiff,976,129.64,0.73,248880,248880,1.455,0.687,0.916,1,40.245,29.138
340,colony_139.tiff,2626,194.167,0.875,669630,669630,1.337,0.748,0.971,1,62.792,44.184
341,colony_14.tiff,2806,207.137,0.822,715530,715530,1.399,0.715,0.94,1,67.408,48.601
342,colony_140.tiff,2527,194.267,0.841,644385,644385,1.595,0.627,0.974,1,59.727,40.802
343,colony_141.tiff,1900,170.61,0.82,484500,484500,1.705,0.586,0.968,1,60.996,35.695
344,colony_142.tiff,2132,174.066,0.884,543660,543660,1.391,0.719,0.971,1,57.085,39.568
345,colony_143.tiff,1611,159.581,0.795,410805,410805,1.752,0.571,0.956,1,56.95,33.312
346,colony_144.tiff,1852,174.652,0.763,472260,472260,1.691,0.592,0.942,1,54.934,30.27
347,colony_145.tiff,1604,169.581,0.701,409020,409020,1.555,0.643,0.917,1,50.253,32.507
348,colony_146.tiff,2504,188.309,0.887,638520,638520,1.155,0.866,0.969,1,60.43,50.757
349,colony_147.tiff,1492,180.409,0.576,380460,380460,2.182,0.458,0.891,1,53.31,24.266
350,colony_148.tiff,1980,169.782,0.863,504900,504900,1.573,0.636,0.975,1,57.314,28.191
351,colony_149.tiff,1882,174.167,0.78,479910,479910,1.783,0.561,0.95,1,64.295,33.724
352,colony_15.tiff,2073,173.581,0.865,528615,528615,1.241,0.806,0.963,1,54.023,41.598
353,colony_150.tiff,2067,178.309,0.817,527085,527085,1.769,0.565,0.966,1,66.453,37.401
354,colony_151.tiff,2481,198.024,0.795,632655,632655,1.618,0.618,0.966,1,61.875,38.809
355,colony_152.tiff,1850,168.61,0.818,471750,471750,1.661,0.602,0.963,1,57.744,34.684
356,colony_153.tiff,1651,211.279,0.465,421005,421005,1.228,0.814,0.813,1,52.083,41.363
357,colony_154.tiff,1874,161.681,0.901,477870,477870,1.204,0.831,0.965,1,52.759,34.462
358,colony_155.tiff,2267,189.823,0.791,578085,578085,1.643,0.609,0.953,1,66.421,39.412
359,colony_156.tiff,2224,183.095,0.834,567120,567120,1.678,0.596,0.972,1,63.26,38.604
360,colony_157.tiff,1389,138.125,0.915,354195,354195,1.128,0.886,0.968,1,41.89,36.17
361,colony_158.tiff,2144,200.853,0.668,546720,546720,2.54,0.394,0.955,1,78.539,30.737
362,colony_159.tiff,1922,163.924,0.899,490110,490110,1.205,0.83,0.97,1,52.59,44.354
363,colony_16.tiff,2187,180.752,0.841,557685,557685,1.479,0.676,0.967,1,58.691,39.006
364,colony_160.tiff,1774,159.095,0.881,452370,452370,1.316,0.76,0.962,1,52.489,38.545
365,colony_161.tiff,1910,166.853,0.862,487050,487050,1.433,0.698,0.964,1,57.629,37.559
366,colony_162.tiff,1057,122.125,0.891,269535,269535,1.263,0.792,0.952,1,39.009,31.432
367,colony_163.tiff,1104,126.468,0.867,281520,281520,1.461,0.685,0.961,1,42.633,29.059
368,colony_164.tiff,1994,167.681,0.891,508470,508470,1.276,0.784,0.973,1,52.867,42.748
369,colony_165.tiff,2099,172.167,0.89,535245,535245,1.252,0.799,0.97,1,54.495,43.948
370,colony_166.tiff,1892,170.752,0.815,482460,482460,1.51,0.662,0.957,1,57.67,37.908
371,colony_167.tiff,1884,164.995,0.87,480420,480420,1.326,0.754,0.965,1,56.321,41.37
372,colony_168.tiff,1777,156.61,0.91,453135,453135,1.097,0.911,0.971,1,49.076,44.157
373,colony_169.tiff,1897,176.61,0.764,483735,483735,1.975,0.506,0.969,1,66.75,33.533
374,colony_17.tiff,2102,174.167,0.871,536010,536010,1.314,0.761,0.968,1,57.65,42.824
375,colony_170.tiff,1998,175.74,0.813,509490,509490,1.7,0.588,0.981,1,52.155,29.002
375,colony_170.tiff,1998,175.74,0.813,509490,509490,1.7,0.588,0.981,1,19.695,9.18
376,colony_171.tiff,2651,194.652,0.879,676005,676005,1.366,0.732,0.974,1,64.301,45.701
377,colony_172.tiff,2090,171.581,0.892,532950,532950,1.403,0.713,0.974,1,57.016,38.365
378,colony_173.tiff,1952,169.095,0.858,497760,497760,1.362,0.734,0.968,1,54.735,41.104
379,colony_174.tiff,2511,194.652,0.833,640305,640305,1.617,0.618,0.967,1,70.662,41.893
380,colony_175.tiff,2326,183.238,0.871,593130,593130,1.35,0.741,0.97,1,59.998,43.758
381,colony_176.tiff,1960,168.024,0.872,499800,499800,1.321,0.757,0.967,1,56.059,41.405
382,colony_177.tiff,1945,166.752,0.879,495975,495975,1.238,0.807,0.962,1,55.017,42.976
383,colony_178.tiff,1981,176.752,0.797,505155,505155,1.238,0.808,0.929,1,52.67,41.434
384,colony_179.tiff,1805,160.409,0.882,460275,460275,1.229,0.814,0.96,1,45.151,37.759
385,colony_18.tiff,2354,192.51,0.798,600270,600270,1.307,0.765,0.956,1,60.061,42.25
386,colony_180.tiff,1338,178.368,0.528,341190,341190,3.35,0.299,0.865,1,74.43,21.708
387,colony_181.tiff,1730,157.924,0.872,441150,441150,1.296,0.771,0.963,1,49.37,38.581
388,colony_182.tiff,2912,210.652,0.825,742560,742560,1.54,0.649,0.967,1,72.225,47.192
389,colony_183.tiff,1641,155.338,0.855,418455,418455,1.35,0.741,0.963,1,52.3,38.051
390,colony_184.tiff,2067,169.823,0.901,527085,527085,1.081,0.925,0.969,1,48.039,46.171
391,colony_185.tiff,993,117.64,0.902,253215,253215,1.122,0.892,0.962,1,36.253,32.171
392,colony_186.tiff,1828,162.267,0.872,466140,466140,1.384,0.723,0.968,1,55.067,38.035
393,colony_187.tiff,2596,193.681,0.87,661980,661980,1.403,0.713,0.976,1,59.154,41.047
394,colony_188.tiff,1072,122.711,0.895,273360,273360,1.365,0.733,0.965,1,40.92,29.653
395,colony_189.tiff,1553,149.095,0.878,396015,396015,1.374,0.728,0.962,1,51.173,36.7
396,colony_19.tiff,2098,172.995,0.881,534990,534990,1.194,0.837,0.957,1,54.406,44.348
397,colony_190.tiff,1785,160.853,0.867,455175,455175,1.376,0.727,0.964,1,48.837,36.317
398,colony_191.tiff,1627,170.409,0.704,414885,414885,2.279,0.439,0.935,1,68.519,28.97
399,colony_192.tiff,2331,189.823,0.813,594405,594405,1.628,0.614,0.962,1,67.387,40.812
400,colony_193.tiff,2249,181.924,0.854,573495,573495,1.248,0.801,0.965,1,56.435,45.439
401,colony_194.tiff,2766,197.966,0.887,705330,705330,1.255,0.796,0.972,1,62.957,49.003
402,colony_195.tiff,1051,121.054,0.901,268005,268005,1.254,0.797,0.962,1,38.947,31.122
403,colony_196.tiff,1391,154.267,0.734,354705,354705,1.639,0.61,0.913,1,52.04,29.556
404,colony_197.tiff,2460,186.167,0.892,627300,627300,1.315,0.76,0.974,1,63.142,44.584
405,colony_198.tiff,1318,137.882,0.871,336090,336090,1.113,0.899,0.957,1,42.344,37.406
406,colony_199.tiff,3620,227.48,0.879,923100,923100,1.231,0.813,0.974,1,70.062,53.429
407,colony_2.tiff,2412,185.823,0.878,615060,615060,1.379,0.725,0.971,1,61.86,45.385
408,colony_20.tiff,1585,154.267,0.837,404175,404175,1.294,0.773,0.947,1,46.517,34.351
409,colony_200.tiff,2115,175.095,0.867,539325,539325,1.367,0.731,0.97,1,58.522,43.165
410,colony_201.tiff,2791,200.409,0.873,711705,711705,1.226,0.816,0.967,1,63.348,49.786
411,colony_202.tiff,1751,177.681,0.697,446505,446505,2.214,0.452,0.947,1,68.753,31.057
412,colony_203.tiff,2021,174.024,0.839,515355,515355,1.621,0.617,0.969,1,61.06,36.638
413,colony_204.tiff,2880,204.208,0.868,734400,734400,1.382,0.723,0.971,1,68.544,50.581
414,colony_205.tiff,2282,180.51,0.88,581910,581910,1.359,0.736,0.973,1,46.332,39.902
415,colony_206.tiff,1911,165.924,0.872,487305,487305,1.396,0.717,0.966,1,52.798,38.247
416,colony_207.tiff,2050,171.095,0.88,522750,522750,1.361,0.735,0.971,1,49.827,41.754
417,colony_208.tiff,2326,181.681,0.886,593130,593130,1.363,0.734,0.971,1,59.53,43.953
418,colony_209.tiff,2595,192.894,0.876,661725,661725,1.399,0.715,0.97,1,61.524,44.349
419,colony_21.tiff,1792,160.024,0.879,456960,456960,1.368,0.731,0.969,1,52.429,39.171
420,colony_210.tiff,1718,158.51,0.859,438090,438090,1.388,0.72,0.962,1,50.548,34.433
421,colony_211.tiff,1812,167.48,0.812,462060,462060,1.738,0.575,0.962,1,61.839,36.114
422,colony_212.tiff,1989,216.794,0.532,507195,507195,1.29,0.775,0.894,1,46.621,31.27
423,colony_213.tiff,2565,190.995,0.884,654075,654075,1.396,0.716,0.975,1,62.097,43.14
424,colony_214.tiff,1446,145.681,0.856,368730,368730,1.595,0.627,0.964,1,50.91,31.012
425,colony_215.tiff,2230,184.066,0.827,568650,568650,1.698,0.589,0.962,1,68.77,37.214
426,colony_216.tiff,1937,164.51,0.899,493935,493935,1.269,0.788,0.966,1,52.316,41.617
427,colony_217.tiff,1990,167.681,0.889,507450,507450,1.138,0.879,0.957,1,46.007,30.996
428,colony_218.tiff,2559,193.823,0.856,652545,652545,1.33,0.752,0.959,1,61.835,47.606
429,colony_219.tiff,2636,210.309,0.749,672180,672180,1.683,0.594,0.923,1,72.795,43.692
430,colony_22.tiff,2123,175.338,0.868,541365,541365,1.392,0.718,0.969,1,58.418,41.019
431,colony_220.tiff,2086,177.924,0.828,531930,531930,1.605,0.623,0.963,1,63.769,39.553
432,colony_221.tiff,1369,146.853,0.798,349095,349095,1.151,0.869,0.933,1,40.756,35.271
433,colony_222.tiff,1227,131.64,0.89,312885,312885,1.155,0.865,0.96,1,41.389,35.439
434,colony_223.tiff,2222,182.51,0.838,566610,566610,1.277,0.783,0.962,1,56.933,41.842
435,colony_224.tiff,1660,154.368,0.875,423300,423300,1.235,0.81,0.964,1,44.727,40.708
436,colony_225.tiff,2117,207.823,0.616,539835,539835,2.062,0.485,0.891,1,70.746,31.747
437,colony_226.tiff,2012,173.095,0.844,513060,513060,1.464,0.683,0.967,1,56.214,38.686
438,colony_227.tiff,2007,169.581,0.877,511785,511785,1.216,0.822,0.963,1,52.249,42.45
439,colony_228.tiff,2532,189.238,0.889,645660,645660,1.237,0.809,0.97,1,60.395,47.771
440,colony_229.tiff,4243,249.421,0.857,1081965,1081965,1.285,0.778,0.963,1,73.586,59.348
441,colony_23.tiff,1510,156.267,0.777,385050,385050,1.26,0.794,0.933,1,42.678,36.487
442,colony_230.tiff,1891,164.61,0.877,482205,482205,1.257,0.796,0.968,1,52.957,41.378
443,colony_231.tiff,2068,177.095,0.829,527340,527340,1.472,0.68,0.952,1,60.275,39.924
444,colony_232.tiff,815,118.853,0.725,207825,207825,2.124,0.471,0.884,1,45.717,20.052
445,colony_233.tiff,2369,189.723,0.827,604095,604095,1.634,0.612,0.963,1,67.841,41.214
446,colony_234.tiff,2407,186.066,0.874,613785,613785,1.334,0.75,0.969,1,60.437,46.579
447,colony_235.tiff,863,116.468,0.799,220065,220065,1.38,0.725,0.912,1,34.857,25.532
448,colony_236.tiff,1720,190.368,0.596,438600,438600,3.051,0.328,0.951,1,76.115,23.887
449,colony_237.tiff,1979,167.681,0.884,504645,504645,1.287,0.777,0.969,1,50.484,40.883
450,colony_238.tiff,1837,163.681,0.862,468435,468435,1.435,0.697,0.967,1,56.42,37.958
451,colony_239.tiff,1698,156.61,0.87,432990,432990,1.426,0.701,0.968,1,53.548,36.879
452,colony_24.tiff,2417,186.066,0.877,616335,616335,1.283,0.78,0.97,1,60.272,45.27
453,colony_240.tiff,2044,170.267,0.886,521220,521220,1.295,0.772,0.969,1,50.116,40.141
454,colony_241.tiff,2365,182.066,0.897,603075,603075,1.246,0.803,0.97,1,52.737,40.971
455,colony_242.tiff,2002,170.652,0.864,510510,510510,1.35,0.741,0.957,1,58.385,42.416
456,colony_243.tiff,3028,206.894,0.889,772140,772140,1.207,0.828,0.973,1,65.6,51.725
457,colony_244.tiff,1986,165.681,0.909,506430,506430,1.183,0.845,0.971,1,53.577,42.349
458,colony_245.tiff,2794,209.823,0.797,712470,712470,1.722,0.581,0.953,1,60.277,35.656
459,colony_246.tiff,2110,174.51,0.871,538050,538050,1.364,0.733,0.97,1,58.703,42.142
460,colony_247.tiff,1742,176.368,0.704,444210,444210,2.366,0.423,0.964,1,67.563,27.062
461,colony_248.tiff,1861,161.581,0.896,474555,474555,1.104,0.906,0.967,1,50.153,44.148
462,colony_249.tiff,2450,187.823,0.873,624750,624750,1.192,0.839,0.958,1,58.234,48.495
463,colony_25.tiff,2158,175.581,0.88,550290,550290,1.219,0.821,0.956,1,55.319,45.826
464,colony_250.tiff,2106,172.51,0.889,537030,537030,1.286,0.778,0.971,1,55.922,38.318
465,colony_251.tiff,1583,152.853,0.851,403665,403665,1.558,0.642,0.963,1,53.976,34.817
466,colony_252.tiff,1276,136.024,0.867,325380,325380,1.295,0.772,0.952,1,43.938,33.904
467,colony_253.tiff,2383,184.894,0.876,607665,607665,1.305,0.766,0.968,1,61.504,45.378
468,colony_254.tiff,2775,200.794,0.865,707625,707625,1.497,0.668,0.972,1,66.592,44.301
469,colony_255.tiff,1544,152.125,0.838,393720,393720,1.671,0.599,0.965,1,51.759,29.864
470,colony_256.tiff,2072,172.51,0.875,528360,528360,1.259,0.794,0.97,1,53.538,43.854
471,colony_257.tiff,2042,170.024,0.888,520710,520710,1.304,0.767,0.971,1,55.204,41.677
472,colony_258.tiff,1794,184.711,0.661,457470,457470,2.582,0.387,0.953,1,75.277,28.162
473,colony_259.tiff,1158,131.882,0.837,295290,295290,1.308,0.765,0.947,1,41.645,31.889
474,colony_26.tiff,3771,241.078,0.815,961605,961605,1.499,0.667,0.952,1,81.074,53.286
475,colony_260.tiff,4117,261.078,0.759,1049835,1049835,1.177,0.85,0.946,1,73.098,55.094
476,colony_261.tiff,2645,206.066,0.783,674475,674475,1.43,0.699,0.929,1,68.449,45.852
477,colony_262.tiff,1925,164.853,0.89,490875,490875,1.12,0.893,0.969,1,49.997,42.147
478,colony_263.tiff,3588,223.622,0.902,914940,914940,1.061,0.943,0.976,1,62.913,59.743
479,colony_264.tiff,2391,193.338,0.804,609705,609705,1.653,0.605,0.946,1,65.286,39.161
480,colony_265.tiff,2529,196.167,0.826,644895,644895,1.538,0.65,0.961,1,61.976,40.534
481,colony_266.tiff,1853,161.681,0.891,472515,472515,1.191,0.839,0.967,1,50.159,41.402
482,colony_267.tiff,1927,172.752,0.811,491385,491385,1.317,0.759,0.938,1,54.309,39.973
483,colony_268.tiff,1972,170.853,0.849,502860,502860,1.446,0.692,0.962,1,58.035,38.306
484,colony_269.tiff,1678,192.125,0.571,427890,427890,3.065,0.326,0.945,1,63.202,25.867
484,colony_269.tiff,1678,192.125,0.571,427890,427890,3.065,0.326,0.945,1,16.429,8.525
485,colony_27.tiff,1791,173.48,0.748,456705,456705,1.497,0.668,0.947,1,56.069,34.335
486,colony_270.tiff,1769,166.752,0.799,451095,451095,1.839,0.544,0.965,1,58.779,33.142
487,colony_271.tiff,2247,243.522,0.476,572985,572985,1.6,0.625,0.901,1,63.468,35.047
488,colony_272.tiff,1881,166.752,0.85,479655,479655,1.36,0.735,0.958,1,55.684,39.351
489,colony_273.tiff,1960,176.309,0.792,499800,499800,1.103,0.907,0.94,1,49.365,46.168
490,colony_274.tiff,2588,192.167,0.881,659940,659940,1.279,0.782,0.972,1,60.497,47.207
491,colony_275.tiff,2041,174.267,0.845,520455,520455,1.579,0.633,0.97,1,63.2,39.628
492,colony_276.tiff,2284,184.066,0.847,582420,582420,1.541,0.649,0.968,1,65.852,41.667
493,colony_277.tiff,1628,154.267,0.86,415140,415140,1.426,0.701,0.966,1,52.977,37.877
494,colony_278.tiff,2100,173.238,0.879,535500,535500,1.349,0.741,0.97,1,51.45,41.08
495,colony_279.tiff,2327,183.238,0.871,593385,593385,1.405,0.712,0.97,1,57.778,40.019
496,colony_28.tiff,1796,163.338,0.846,457980,457980,1.41,0.709,0.954,1,53.7,36.253
497,colony_280.tiff,2189,208.024,0.636,558195,558195,2.356,0.424,0.872,1,61.507,28.836
497,colony_280.tiff,2189,208.024,0.636,558195,558195,2.356,0.424,0.872,1,15.892,10.015
498,colony_281.tiff,1946,166.167,0.886,496230,496230,1.266,0.79,0.968,1,54.973,42.014
499,colony_282.tiff,2385,183.238,0.893,608175,608175,1.258,0.795,0.972,1,60.891,47.466
500,colony_283.tiff,2231,185.966,0.811,568905,568905,1.491,0.671,0.954,1,63.931,43.078
501,colony_284.tiff,2014,173.823,0.838,513570,513570,1.516,0.659,0.965,1,59.766,37.963
503,colony_286.tiff,2058,170.167,0.893,524790,524790,1.303,0.767,0.967,1,55.186,40.906
504,colony_287.tiff,2546,192.752,0.861,649230,649230,1.477,0.677,0.969,1,55.013,37.216
505,colony_288.tiff,2162,178.51,0.853,551310,551310,1.508,0.663,0.963,1,59.214,38.618
506,colony_289.tiff,1966,168.51,0.87,501330,501330,1.181,0.847,0.959,1,51.822,41.94
507,colony_29.tiff,3379,225.38,0.836,861645,861645,1.396,0.716,0.963,1,72.845,52.856
508,colony_290.tiff,2516,193.137,0.848,641580,641580,1.49,0.671,0.968,1,68.767,44.752
509,colony_291.tiff,1588,191.054,0.547,404940,404940,3.399,0.294,0.94,1,79.0,22.225
510,colony_292.tiff,2117,173.924,0.879,539835,539835,1.31,0.763,0.971,1,54.701,41.641
511,colony_293.tiff,2553,193.338,0.858,651015,651015,1.446,0.692,0.972,1,66.69,46.393
512,colony_294.tiff,2448,195.966,0.801,624240,624240,1.833,0.546,0.968,1,74.435,40.694
513,colony_295.tiff,2392,190.51,0.828,609960,609960,1.64,0.61,0.97,1,65.075,37.136
514,colony_296.tiff,2330,184.51,0.86,594150,594150,1.505,0.665,0.972,1,59.836,39.387
515,colony_297.tiff,1910,166.409,0.867,487050,487050,1.147,0.872,0.957,1,48.053,41.52
516,colony_298.tiff,1916,168.368,0.849,488580,488580,1.307,0.765,0.962,1,49.906,37.07
517,colony_299.tiff,2683,194.066,0.895,684165,684165,1.155,0.866,0.971,1,60.258,46.866
518,colony_3.tiff,1844,168.61,0.815,470220,470220,1.805,0.554,0.97,1,59.988,34.384
519,colony_30.tiff,2752,196.894,0.892,701760,701760,1.2,0.834,0.972,1,59.79,50.81
520,colony_300.tiff,1756,163.581,0.825,447780,447780,1.416,0.706,0.942,1,54.618,38.301
521,colony_301.tiff,2145,175.581,0.874,546975,546975,1.324,0.755,0.966,1,58.029,42.303
522,colony_302.tiff,2014,191.054,0.693,513570,513570,2.483,0.403,0.96,1,61.717,29.13
523,colony_303.tiff,2402,189.48,0.841,612510,612510,1.55,0.645,0.967,1,69.466,42.45
524,colony_304.tiff,2109,176.167,0.854,537795,537795,1.432,0.698,0.966,1,58.582,41.556
525,colony_305.tiff,2529,188.995,0.89,644895,644895,1.255,0.797,0.975,1,53.59,41.815
526,colony_306.tiff,2470,202.894,0.754,629850,629850,1.788,0.559,0.928,1,70.078,40.28
527,colony_307.tiff,3031,214.794,0.826,772905,772905,1.602,0.624,0.969,1,69.198,44.62
528,colony_308.tiff,2057,171.439,0.879,524535,524535,1.364,0.733,0.971,1,56.28,40.156
529,colony_309.tiff,2498,189.539,0.874,636990,636990,1.387,0.721,0.974,1,42.492,40.361
530,colony_31.tiff,2645,192.995,0.892,674475,674475,1.245,0.803,0.974,1,53.201,46.501
531,colony_310.tiff,2074,183.095,0.777,528870,528870,1.876,0.533,0.961,1,70.215,34.798
532,colony_311.tiff,3498,225.137,0.867,891990,891990,1.42,0.704,0.976,1,76.123,53.289
533,colony_312.tiff,1841,162.51,0.876,469455,469455,1.28,0.781,0.968,1,51.423,41.201
534,colony_313.tiff,2173,179.681,0.846,554115,554115,1.512,0.661,0.971,1,61.968,40.703
535,colony_314.tiff,2618,191.782,0.894,667590,667590,1.063,0.94,0.977,1,56.761,53.028
536,colony_315.tiff,2105,193.924,0.703,536775,536775,2.169,0.461,0.953,1,70.671,33.475
537,colony_316.tiff,2832,199.966,0.89,722160,722160,1.303,0.767,0.972,1,62.34,44.668
538,colony_317.tiff,2734,195.238,0.901,697170,697170,1.111,0.9,0.97,1,54.716,46.4
539,colony_318.tiff,1812,165.681,0.83,462060,462060,1.617,0.618,0.961,1,55.011,34.324
540,colony_319.tiff,2920,209.48,0.836,744600,744600,1.668,0.599,0.972,1,66.457,39.908
541,colony_32.tiff,2272,191.622,0.778,579360,579360,1.888,0.53,0.946,1,73.964,38.199
542,colony_320.tiff,1746,158.51,0.873,445230,445230,1.255,0.797,0.964,1,51.404,41.043
543,colony_321.tiff,3191,220.894,0.822,813705,813705,1.66,0.603,0.973,1,73.184,44.503
544,colony_322.tiff,2228,178.995,0.874,568140,568140,1.435,0.697,0.971,1,63.052,43.84
545,colony_323.tiff,2265,181.338,0.866,577575,577575,1.309,0.764,0.967,1,57.831,40.576
546,colony_324.tiff,1364,149.296,0.769,347820,347820,1.879,0.532,0.955,1,55.168,29.196
547,colony_325.tiff,2022,170.995,0.869,515610,515610,1.376,0.727,0.965,1,57.132,39.714
548,colony_326.tiff,1238,140.61,0.787,315690,315690,1.771,0.565,0.949,1,50.352,27.209
549,colony_327.tiff,2173,178.066,0.861,554115,554115,1.201,0.832,0.954,1,52.308,44.764
550,colony_328.tiff,3884,236.451,0.873,990420,990420,1.403,0.713,0.973,1,80.834,56.768
551,colony_329.tiff,2062,171.823,0.878,525810,525810,1.08,0.926,0.966,1,45.94,42.404
552,colony_33.tiff,1328,136.711,0.893,338640,338640,1.176,0.85,0.963,1,41.587,36.832
553,colony_330.tiff,1912,175.581,0.779,487560,487560,1.818,0.55,0.963,1,65.255,36.194
554,colony_331.tiff,1996,212.409,0.556,508980,508980,2.295,0.436,0.894,1,64.505,29.075
