 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
87,1 pat p17 7 day od 10x 3_colony_124.tiff,171,47.698,0.944,43605,43605,1.221,0.819,0.932,16.305,13.353
88,1 pat p17 7 day od 10x 3_colony_125.tiff,293,69.841,0.755,74715,74715,1.823,0.549,0.883,26.076,14.307
89,1 pat p17 7 day od 10x 3_colony_126.tiff,232,62.426,0.748,59160,59160,2.26,0.442,0.899,25.838,11.432
90,1 pat p17 7 day od 10x 3_colony_127.tiff,151,44.87,0.942,38505,38505,1.072,0.933,0.935,14.356,13.392
91,1 pat p17 7 day od 10x 3_colony_128.tiff,276,63.598,0.857,70380,70380,1.464,0.683,0.929,25.354,18.279
92,1 pat p17 7 day od 10x 3_colony_129.tiff,200,53.355,0.883,51000,51000,1.419,0.704,0.915,21.344,15.689
93,1 pat p17 7 day od 10x 3_colony_130.tiff,293,66.083,0.843,74715,74715,1.357,0.737,0.914,22.503,16.578
94,1 pat p17 7 day od 10x 3_colony_131.tiff,325,71.012,0.81,82875,82875,1.808,0.553,0.933,27.355,15.127
95,1 pat p17 7 day od 10x 3_colony_132.tiff,237,61.012,0.8,60435,60435,1.863,0.537,0.912,25.0,13.954
96,1 pat p17 7 day od 10x 3_colony_133.tiff,271,61.941,0.888,69105,69105,1.025,0.975,0.926,18.811,18.343
97,1 pat p17 7 day od 10x 3_colony_134.tiff,280,61.941,0.917,71400,71400,1.327,0.754,0.943,23.347,17.724
98,1 pat p17 7 day od 10x 3_colony_135.tiff,199,52.284,0.915,50745,50745,1.292,0.774,0.936,19.169,14.812
99,1 pat p17 7 day od 10x 3_colony_136.tiff,219,54.87,0.914,55845,55845,1.124,0.89,0.944,17.704,15.75
100,1 pat p17 7 day od 10x 3_colony_137.tiff,222,57.598,0.841,56610,56610,1.76,0.568,0.923,24.609,14.952
101,1 pat p17 7 day od 10x 3_colony_138.tiff,354,70.426,0.897,90270,90270,1.491,0.671,0.945,25.925,17.386
102,1 pat p17 7 day od 10x 3_colony_139.tiff,180,51.355,0.858,45900,45900,1.829,0.547,0.923,22.22,12.205
103,1 pat p17 7 day od 10x 3_colony_140.tiff,142,44.87,0.886,36210,36210,1.486,0.673,0.913,21.007,15.455
104,1 pat p17 7 day od 10x 3_colony_141.tiff,211,53.355,0.931,53805,53805,1.418,0.705,0.936,20.34,14.71
105,1 pat p17 7 day od 10x 3_colony_142.tiff,196,55.355,0.804,49980,49980,1.737,0.576,0.914,22.87,13.306
106,1 pat p17 7 day od 10x 3_colony_143.tiff,271,63.598,0.842,69105,69105,1.656,0.604,0.922,24.937,15.675
107,1 pat p17 7 day od 10x 3_colony_144.tiff,266,60.184,0.923,67830,67830,1.203,0.831,0.935,22.627,19.02
108,1 pat p17 7 day od 10x 3_colony_145.tiff,579,90.669,0.885,147645,147645,1.5,0.667,0.96,34.306,23.456
109,1 pat p17 7 day od 10x 3_colony_74.tiff,268,62.184,0.871,68340,68340,1.478,0.676,0.927,23.47,16.492
110,1 pat p17 7 day od 10x 3_colony_75.tiff,360,72.426,0.862,91800,91800,1.594,0.627,0.94,27.029,16.959
111,1 pat p17 7 day od 10x 3_colony_76.tiff,445,85.012,0.774,113475,113475,1.834,0.545,0.925,33.487,18.555
112,1 pat p17 7 day od 10x 3_colony_77.tiff,292,65.012,0.868,74460,74460,1.649,0.606,0.94,26.51,16.281
113,1 pat p17 7 day od 10x 3_colony_78.tiff,267,59.941,0.934,68085,68085,1.302,0.768,0.943,23.005,18.098
114,1 pat p17 7 day od 10x 3_colony_80.tiff,287,63.113,0.905,73185,73185,1.498,0.668,0.953,24.74,17.344
115,1 pat p17 7 day od 10x 3_colony_83.tiff,302,65.012,0.898,77010,77010,1.486,0.673,0.941,25.749,17.505
116,1 pat p17 7 day od 10x 3_colony_84.tiff,401,75.255,0.89,102255,102255,1.486,0.673,0.95,27.547,18.534
117,1 pat p17 7 day od 10x 3_colony_85.tiff,279,64.77,0.836,71145,71145,1.704,0.587,0.928,24.606,14.437
118,1 pat p17 7 day od 10x 3_colony_86.tiff,324,69.012,0.855,82620,82620,1.613,0.62,0.928,25.799,15.99
119,1 pat p17 7 day od 10x 3_colony_87.tiff,284,63.113,0.896,72420,72420,1.261,0.793,0.945,24.197,19.101
120,1 pat p17 7 day od 10x 3_colony_88.tiff,428,79.497,0.851,109140,109140,1.488,0.672,0.937,29.794,20.341
121,1 pat p17 7 day od 10x 3_colony_89.tiff,447,87.054,0.741,113985,113985,1.778,0.562,0.888,31.811,17.891
122,1 pat p17 7 day od 10x 3_colony_90.tiff,1031,126.125,0.814,262905,262905,1.508,0.663,0.943,47.053,32.553
123,1 pat p17 7 day od 10x 3_colony_91.tiff,211,53.941,0.911,53805,53805,1.257,0.795,0.927,21.88,18.097
124,1 pat p17 7 day od 10x 3_colony_92.tiff,332,71.841,0.808,84660,84660,1.814,0.551,0.943,27.692,15.265
125,1 pat p17 7 day od 10x 3_colony_93.tiff,469,86.225,0.793,119595,119595,1.492,0.67,0.921,29.847,20.007
126,1 pat p17 7 day od 10x 3_colony_94.tiff,369,75.154,0.821,94095,94095,1.852,0.54,0.934,29.496,15.928
127,1 pat p17 7 day od 10x 3_colony_95.tiff,405,83.598,0.728,103275,103275,2.207,0.453,0.932,33.734,15.286
128,1 pat p17 7 day od 10x 3_colony_96.tiff,242,57.941,0.906,61710,61710,1.302,0.768,0.934,21.602,16.68
129,1 pat p17 7 day od 10x 3_colony_97.tiff,263,60.184,0.912,67065,67065,1.17,0.855,0.931,21.314,19.474
130,1 pat p17 7 day od 10x 3_colony_98.tiff,316,68.669,0.842,80580,80580,1.45,0.69,0.917,24.155,16.657
131,1 pat p17 7 day od 10x 3_colony_99.tiff,302,66.184,0.866,77010,77010,1.491,0.671,0.936,24.965,16.627
132,1 pat p17 7 day od 10x 4_colony_147.tiff,220,54.77,0.922,56100,56100,1.187,0.842,0.928,20.194,16.771
133,1 pat p17 7 day od 10x 4_colony_151.tiff,275,61.598,0.911,70125,70125,1.252,0.799,0.924,23.143,19.146
134,1 pat p17 7 day od 10x 4_colony_152.tiff,227,58.426,0.836,57885,57885,1.571,0.637,0.904,24.479,16.696
135,1 pat p17 7 day od 10x 4_colony_153.tiff,305,66.669,0.862,77775,77775,1.513,0.661,0.93,27.564,18.107
136,1 pat p17 7 day od 10x 4_colony_154.tiff,236,56.77,0.92,60180,60180,1.22,0.82,0.938,19.144,15.696
137,1 pat p17 7 day od 10x 4_colony_155.tiff,230,56.77,0.897,58650,58650,1.324,0.755,0.927,19.691,14.872
138,1 pat p17 7 day od 10x 4_colony_156.tiff,329,68.912,0.871,83895,83895,1.461,0.685,0.927,24.736,16.935
139,1 pat p17 7 day od 10x 4_colony_157.tiff,316,69.841,0.814,80580,80580,1.653,0.605,0.925,25.791,15.6
140,1 pat p17 7 day od 10x 4_colony_158.tiff,257,59.941,0.899,65535,65535,1.294,0.773,0.928,26.159,18.447
141,1 pat p17 7 day od 10x 4_colony_159.tiff,235,58.77,0.855,59925,59925,1.657,0.604,0.929,24.174,15.274
142,1 pat p17 7 day od 10x 4_colony_160.tiff,261,61.941,0.855,66555,66555,1.669,0.599,0.942,23.553,14.109
143,1 pat p17 7 day od 10x 4_colony_161.tiff,549,91.74,0.82,139995,139995,1.668,0.599,0.937,34.148,20.47
144,1 pat p17 7 day od 10x 4_colony_162.tiff,569,92.225,0.841,145095,145095,1.374,0.728,0.937,31.547,22.965
145,1 pat p17 7 day od 10x 4_colony_163.tiff,267,64.77,0.8,68085,68085,1.413,0.708,0.881,21.917,15.511
146,1 pat p17 7 day od 10x 4_colony_164.tiff,525,100.468,0.654,133875,133875,2.541,0.394,0.882,41.215,16.219
147,1 pat p17 7 day od 10x 4_colony_165.tiff,361,77.598,0.753,92055,92055,1.914,0.523,0.919,29.658,15.498
148,1 pat p17 7 day od 10x 4_colony_166.tiff,204,52.77,0.921,52020,52020,1.53,0.654,0.936,21.475,14.348
149,1 pat p17 7 day od 10x 4_colony_167.tiff,320,121.497,0.272,81600,81600,3.55,0.282,0.625,42.696,15.686
150,1 pat p17 7 day od 10x 4_colony_169.tiff,189,51.113,0.909,48195,48195,1.372,0.729,0.929,18.17,13.244
151,1 pat p17 7 day od 10x 4_colony_170.tiff,333,68.669,0.887,84915,84915,1.25,0.8,0.934,26.538,20.678
152,1 pat p17 7 day od 10x 4_colony_171.tiff,248,61.598,0.821,63240,63240,1.533,0.652,0.902,22.002,14.352
153,1 pat p17 7 day od 10x 4_colony_172.tiff,231,58.184,0.857,58905,58905,1.594,0.627,0.931,23.45,15.148
154,1 pat p17 7 day od 10x 4_colony_173.tiff,284,67.355,0.787,72420,72420,1.953,0.512,0.934,27.718,15.021
155,1 pat p17 7 day od 10x 4_colony_174.tiff,256,62.184,0.832,65280,65280,1.271,0.787,0.88,20.357,16.012
156,1 pat p17 7 day od 10x 4_colony_175.tiff,253,67.74,0.693,64515,64515,2.644,0.378,0.917,30.863,12.624
157,1 pat p17 7 day od 10x 4_colony_176.tiff,221,56.527,0.869,56355,56355,1.535,0.652,0.927,20.782,13.54
158,1 pat p17 7 day od 10x 4_colony_177.tiff,317,69.255,0.831,80835,80835,1.692,0.591,0.922,28.307,18.037
159,1 pat p17 7 day od 10x 4_colony_178.tiff,382,73.255,0.895,97410,97410,1.303,0.768,0.943,27.179,21.455
160,1 pat p17 7 day od 10x 4_colony_179.tiff,567,88.569,0.908,144585,144585,1.198,0.835,0.949,29.403,24.553
161,1 pat p17 7 day od 10x 4_colony_180.tiff,264,62.77,0.842,67320,67320,1.625,0.615,0.92,23.374,14.381
162,1 pat p17 7 day od 10x 4_colony_181.tiff,153,45.113,0.945,39015,39015,1.317,0.759,0.924,16.018,12.162
163,1 pat p17 7 day od 10x 4_colony_182.tiff,163,54.527,0.689,41565,41565,2.097,0.477,0.86,23.389,13.392
164,1 pat p17 7 day od 10x 4_colony_183.tiff,345,84.225,0.611,87975,87975,1.639,0.61,0.844,29.133,19.842
165,1 pat p17 7 day od 10x 4_colony_184.tiff,234,56.77,0.912,59670,59670,1.271,0.787,0.932,19.462,15.308
166,1 pat p17 7 day od 10x 4_colony_185.tiff,269,61.598,0.891,68595,68595,1.348,0.742,0.928,22.673,17.128
167,1 pat p17 7 day od 10x 4_colony_186.tiff,246,59.255,0.88,62730,62730,1.438,0.695,0.923,21.224,14.758
168,1 pat p17 7 day od 10x 4_colony_187.tiff,261,64.184,0.796,66555,66555,1.73,0.578,0.909,23.98,13.858
169,1 pat p17 7 day od 10x 4_colony_188.tiff,231,56.527,0.908,58905,58905,1.178,0.849,0.935,18.611,15.803
170,1 pat p17 7 day od 10x 4_colony_189.tiff,207,53.598,0.905,52785,52785,1.272,0.786,0.922,18.313,14.392
171,1 pat p17 7 day od 10x 4_colony_190.tiff,202,62.184,0.656,51510,51510,2.123,0.471,0.833,23.369,11.006
172,1 pat p17 7 day od 10x 4_colony_191.tiff,202,51.941,0.941,51510,51510,1.15,0.869,0.929,19.43,16.841
