 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
80,1 pat p30 7 day ctrl 10x 2_colony_108.tiff,511,83.497,26.174,24.858,123.157,0.921,130305,130305,1.053,0.950,0.949
81,1 pat p30 7 day ctrl 10x 2_colony_109.tiff,308,65.941,23.608,16.611,102.003,0.890,78540,78540,1.421,0.704,0.945
82,1 pat p30 7 day ctrl 10x 2_colony_110.tiff,230,58.770,22.501,13.015,37.368,0.837,58650,58650,1.729,0.578,0.927
83,1 pat p30 7 day ctrl 10x 2_colony_111.tiff,301,67.255,23.883,16.047,21.765,0.836,76755,76755,1.488,0.672,0.918
84,1 pat p30 7 day ctrl 10x 2_colony_112.tiff,241,59.598,22.129,13.867,18.193,0.853,61455,61455,1.596,0.627,0.922
85,1 pat p30 7 day ctrl 10x 2_colony_113.tiff,295,67.497,26.217,14.327,134.996,0.814,75225,75225,1.830,0.546,0.923
86,1 pat p30 7 day ctrl 10x 2_colony_114.tiff,386,76.184,29.137,16.868,178.888,0.836,98430,98430,1.727,0.579,0.945
87,1 pat p30 7 day ctrl 10x 2_colony_115.tiff,298,67.255,23.982,15.821,153.667,0.828,75990,75990,1.516,0.660,0.916
88,1 pat p30 7 day ctrl 10x 2_colony_116.tiff,197,51.941,18.974,13.220,110.266,0.918,50235,50235,1.435,0.697,0.934
89,1 pat p30 7 day ctrl 10x 2_colony_117.tiff,343,71.255,26.197,16.671,20.227,0.849,87465,87465,1.571,0.636,0.932
90,1 pat p30 7 day ctrl 10x 2_colony_118.tiff,235,56.770,19.536,15.316,42.510,0.916,59925,59925,1.276,0.784,0.929
91,1 pat p30 7 day ctrl 10x 2_colony_119.tiff,292,67.113,22.679,16.393,177.352,0.815,74460,74460,1.383,0.723,0.923
92,1 pat p30 7 day ctrl 10x 2_colony_120.tiff,300,65.012,23.154,16.497,62.721,0.892,76500,76500,1.403,0.713,0.938
93,1 pat p30 7 day ctrl 10x 2_colony_121.tiff,280,63.012,21.563,16.533,120.185,0.886,71400,71400,1.304,0.767,0.929
94,1 pat p30 7 day ctrl 10x 2_colony_122.tiff,377,72.426,24.984,19.213,164.748,0.903,96135,96135,1.300,0.769,0.943
95,1 pat p30 7 day ctrl 10x 2_colony_123.tiff,324,67.255,22.383,18.431,13.135,0.900,82620,82620,1.214,0.823,0.932
96,1 pat p30 7 day ctrl 10x 2_colony_124.tiff,380,73.497,26.484,18.269,25.777,0.884,96900,96900,1.450,0.690,0.941
97,1 pat p30 7 day ctrl 10x 2_colony_125.tiff,995,124.711,44.378,28.548,104.236,0.804,253725,253725,1.555,0.643,0.933
98,1 pat p30 7 day ctrl 10x 2_colony_126.tiff,318,69.012,25.867,15.653,143.846,0.839,81090,81090,1.653,0.605,0.927
99,1 pat p30 7 day ctrl 10x 2_colony_127.tiff,388,74.083,27.567,17.921,36.711,0.888,98940,98940,1.538,0.650,0.935
100,1 pat p30 7 day ctrl 10x 2_colony_128.tiff,501,83.983,28.680,22.242,47.828,0.893,127755,127755,1.289,0.776,0.946
101,1 pat p30 7 day ctrl 10x 2_colony_129.tiff,396,77.255,29.305,17.206,158.192,0.834,100980,100980,1.703,0.587,0.943
102,1 pat p30 7 day ctrl 10x 2_colony_130.tiff,266,61.841,23.539,14.388,143.106,0.874,67830,67830,1.636,0.611,0.933
