 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
91,1 pat p17 7 day od 10x 3_colony_128.tiff,364,71.841,25.354,18.279,156.830,0.886,92820,92820,1.387,0.721,0.945
92,1 pat p17 7 day od 10x 3_colony_129.tiff,263,61.012,21.344,15.689,158.429,0.888,67065,67065,1.360,0.735,0.924
93,1 pat p17 7 day od 10x 3_colony_130.tiff,293,66.083,22.503,16.578,149.670,0.843,74715,74715,1.357,0.737,0.914
94,1 pat p17 7 day od 10x 3_colony_131.tiff,325,71.012,27.355,15.127,163.314,0.810,82875,82875,1.808,0.553,0.933
95,1 pat p17 7 day od 10x 3_colony_132.tiff,274,65.255,25.000,13.954,28.904,0.809,69870,69870,1.792,0.558,0.913
96,1 pat p17 7 day od 10x 3_colony_133.tiff,271,61.941,18.811,18.343,101.308,0.888,69105,69105,1.025,0.975,0.926
97,1 pat p17 7 day od 10x 3_colony_134.tiff,325,67.598,23.347,17.724,154.833,0.894,82875,82875,1.317,0.759,0.933
98,1 pat p17 7 day od 10x 3_colony_135.tiff,223,54.527,19.169,14.812,172.148,0.943,56865,56865,1.294,0.773,0.941
99,1 pat p17 7 day od 10x 3_colony_136.tiff,219,54.870,17.704,15.750,145.613,0.914,55845,55845,1.124,0.890,0.944
100,1 pat p17 7 day od 10x 3_colony_137.tiff,289,64.669,24.609,14.952,37.484,0.868,73695,73695,1.646,0.608,0.931
101,1 pat p17 7 day od 10x 3_colony_138.tiff,354,70.426,25.925,17.386,179.955,0.897,90270,90270,1.491,0.671,0.945
102,1 pat p17 7 day od 10x 3_colony_139.tiff,213,57.012,22.220,12.205,131.708,0.823,54315,54315,1.820,0.549,0.918
103,1 pat p17 7 day od 10x 3_colony_140.tiff,255,59.598,21.007,15.455,166.767,0.902,65025,65025,1.359,0.736,0.926
104,1 pat p17 7 day od 10x 3_colony_141.tiff,235,57.355,20.340,14.710,56.052,0.898,59925,59925,1.383,0.723,0.933
105,1 pat p17 7 day od 10x 3_colony_142.tiff,239,60.770,22.870,13.306,33.585,0.813,60945,60945,1.719,0.582,0.925
106,1 pat p17 7 day od 10x 3_colony_143.tiff,307,66.083,24.937,15.675,135.593,0.883,78285,78285,1.591,0.629,0.939
107,1 pat p17 7 day od 10x 3_colony_144.tiff,338,67.598,22.627,19.020,177.526,0.930,86190,86190,1.190,0.841,0.945
108,1 pat p17 7 day od 10x 3_colony_145.tiff,632,94.912,34.306,23.456,167.513,0.882,161160,161160,1.463,0.684,0.955
109,1 pat p17 7 day od 10x 3_colony_74.tiff,304,64.770,23.470,16.492,147.850,0.911,77520,77520,1.423,0.703,0.946
110,1 pat p17 7 day od 10x 3_colony_75.tiff,360,72.426,27.029,16.959,163.193,0.862,91800,91800,1.594,0.627,0.940
