 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
373,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_4.tiff,1678,163.681,63.830,33.472,157.276,0.787,427890,427890,1.907,0.524,0.966
374,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_5.tiff,2088,170.752,53.967,49.262,140.383,0.900,532440,532440,1.095,0.913,0.970
375,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_6.tiff,1839,160.267,53.227,43.991,105.093,0.900,468945,468945,1.210,0.826,0.969
376,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_7.tiff,2176,178.652,64.778,42.770,136.877,0.857,554880,554880,1.515,0.660,0.966
377,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_8.tiff,1945,166.409,57.851,42.807,129.335,0.883,495975,495975,1.351,0.740,0.966
378,8 pat ctrl KI67 (561) 40X_0006_C001T001_colony_9.tiff,2403,186.995,66.787,45.811,123.002,0.864,612765,612765,1.458,0.686,0.971
379,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_10.tiff,2807,200.409,71.318,50.113,52.389,0.878,715785,715785,1.423,0.703,0.974
380,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_11.tiff,2046,170.167,56.205,46.349,64.498,0.888,521730,521730,1.213,0.825,0.969
381,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_12.tiff,1896,166.409,56.609,42.644,62.884,0.860,483480,483480,1.327,0.753,0.959
382,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_13.tiff,1699,153.681,50.214,43.081,34.199,0.904,433245,433245,1.166,0.858,0.969
383,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_14.tiff,1987,168.995,59.006,42.876,46.562,0.874,506685,506685,1.376,0.727,0.966
384,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_15.tiff,2198,174.167,53.241,52.564,24.982,0.911,560490,560490,1.013,0.987,0.971
385,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_16.tiff,2343,184.409,64.890,45.973,22.673,0.866,597465,597465,1.411,0.708,0.969
386,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_17.tiff,1877,164.652,57.487,41.573,57.834,0.870,478635,478635,1.383,0.723,0.963
387,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_19.tiff,1763,157.924,52.773,42.536,49.216,0.888,449565,449565,1.241,0.806,0.967
388,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_2.tiff,2001,167.782,56.738,44.903,76.723,0.893,510255,510255,1.264,0.791,0.973
389,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_20.tiff,2615,194.652,65.057,51.179,29.445,0.867,666825,666825,1.271,0.787,0.965
390,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_21.tiff,2486,188.894,63.680,49.706,52.389,0.876,633930,633930,1.281,0.781,0.970
391,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_23.tiff,2102,172.024,55.568,48.163,58.327,0.893,536010,536010,1.154,0.867,0.972
392,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_24.tiff,1884,165.095,58.459,41.033,146.209,0.869,480420,480420,1.425,0.702,0.970
393,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_25.tiff,2239,178.995,63.547,44.861,165.805,0.878,570945,570945,1.417,0.706,0.972
394,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_3.tiff,2389,182.752,61.296,49.624,60.125,0.899,609195,609195,1.235,0.810,0.975
395,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_4.tiff,1520,147.439,52.531,36.842,61.332,0.879,387600,387600,1.426,0.701,0.969
396,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_5.tiff,4439,251.380,84.217,67.111,88.458,0.883,1131945,1131945,1.255,0.797,0.977
397,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_6.tiff,2101,177.338,63.508,42.122,80.493,0.840,535755,535755,1.508,0.663,0.962
398,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_7.tiff,2036,173.439,62.189,41.684,78.305,0.851,519180,519180,1.492,0.670,0.970
399,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_8.tiff,2781,197.823,65.417,54.127,54.662,0.893,709155,709155,1.209,0.827,0.975
400,8 pat ctrl KI67 (561) 40X_0007_C001T001_colony_9.tiff,1592,149.439,51.193,39.595,67.128,0.896,405960,405960,1.293,0.773,0.970
401,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_10.tiff,3038,209.581,68.916,56.128,109.073,0.869,774690,774690,1.228,0.814,0.970
402,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_11.tiff,1889,163.924,56.819,42.330,133.035,0.883,481695,481695,1.342,0.745,0.969
403,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_12.tiff,1826,159.681,51.272,45.345,107.421,0.900,465630,465630,1.131,0.884,0.969
404,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_13.tiff,1829,161.338,54.386,42.819,117.661,0.883,466395,466395,1.270,0.787,0.967
405,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_14.tiff,2137,172.995,57.938,46.963,118.371,0.897,544935,544935,1.234,0.811,0.970
406,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_15.tiff,2006,169.338,56.280,45.382,135.084,0.879,511530,511530,1.240,0.806,0.969
407,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_16.tiff,2006,170.752,60.959,41.899,121.511,0.865,511530,511530,1.455,0.687,0.970
408,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_17.tiff,2096,171.095,54.570,48.905,111.368,0.900,534480,534480,1.116,0.896,0.971
409,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_18.tiff,1961,167.439,58.670,42.557,95.529,0.879,500055,500055,1.379,0.725,0.970
