 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
43,7 pat ctrl KI67 (561)_0003_C001T001_colony_15.tiff,3471,219.723,0.903,885105,885105,1.166,0.858,0.977
44,7 pat ctrl KI67 (561)_0003_C001T001_colony_17.tiff,2262,180.752,0.870,576810,576810,1.394,0.717,0.972
45,7 pat ctrl KI67 (561)_0003_C001T001_colony_18.tiff,1748,156.510,0.897,445740,445740,1.323,0.756,0.969
46,7 pat ctrl KI67 (561)_0003_C001T001_colony_19.tiff,2283,180.409,0.881,582165,582165,1.408,0.710,0.972
47,7 pat ctrl KI67 (561)_0003_C001T001_colony_20.tiff,2632,195.823,0.863,671160,671160,1.377,0.726,0.970
48,7 pat ctrl KI67 (561)_0003_C001T001_colony_21.tiff,1835,168.894,0.808,467925,467925,1.707,0.586,0.957
49,7 pat ctrl KI67 (561)_0003_C001T001_colony_22.tiff,2675,193.137,0.901,682125,682125,1.191,0.840,0.974
50,7 pat ctrl KI67 (561)_0003_C001T001_colony_23.tiff,1776,158.024,0.894,452880,452880,1.272,0.786,0.969
51,7 pat ctrl KI67 (561)_0003_C001T001_colony_24.tiff,1909,167.924,0.851,486795,486795,1.438,0.695,0.960
52,7 pat ctrl KI67 (561)_0003_C001T001_colony_25.tiff,1974,166.853,0.891,503370,503370,1.209,0.827,0.970
53,7 pat ctrl KI67 (561)_0003_C001T001_colony_26.tiff,1802,158.510,0.901,459510,459510,1.255,0.797,0.969
54,7 pat ctrl KI67 (561)_0003_C001T001_colony_27.tiff,2029,171.823,0.864,517395,517395,1.320,0.758,0.963
55,7 pat ctrl KI67 (561)_0003_C001T001_colony_28.tiff,2251,181.095,0.863,574005,574005,1.425,0.702,0.972
56,7 pat ctrl KI67 (561)_0003_C001T001_colony_29.tiff,1673,156.024,0.864,426615,426615,1.363,0.734,0.963
57,7 pat ctrl KI67 (561)_0003_C001T001_colony_5.tiff,2351,186.995,0.845,599505,599505,1.468,0.681,0.965
58,7 pat ctrl KI67 (561)_0003_C001T001_colony_6.tiff,1933,175.095,0.792,492915,492915,1.833,0.546,0.966
59,7 pat ctrl KI67 (561)_0003_C001T001_colony_7.tiff,1743,156.368,0.896,444465,444465,1.293,0.773,0.970
60,7 pat ctrl KI67 (561)_0003_C001T001_colony_8.tiff,2103,171.581,0.898,536265,536265,1.173,0.853,0.969
61,7 pat ctrl KI67 (561)_0003_C001T001_colony_9.tiff,3547,231.380,0.833,904485,904485,1.500,0.667,0.966
62,7 pat ctrl KI67 (561)_0004_C001T001_colony_10.tiff,2584,190.409,0.896,658920,658920,1.211,0.826,0.975
63,7 pat ctrl KI67 (561)_0004_C001T001_colony_11.tiff,1770,157.439,0.897,451350,451350,1.178,0.849,0.967
64,7 pat ctrl KI67 (561)_0004_C001T001_colony_12.tiff,1985,172.267,0.841,506175,506175,1.627,0.614,0.969
65,7 pat ctrl KI67 (561)_0004_C001T001_colony_13.tiff,1982,171.823,0.844,505410,505410,1.399,0.715,0.954
66,7 pat ctrl KI67 (561)_0004_C001T001_colony_14.tiff,2050,174.167,0.849,522750,522750,1.476,0.678,0.966
67,7 pat ctrl KI67 (561)_0004_C001T001_colony_15.tiff,1960,167.924,0.873,499800,499800,1.308,0.765,0.965
68,7 pat ctrl KI67 (561)_0004_C001T001_colony_16.tiff,1468,143.539,0.895,374340,374340,1.221,0.819,0.965
69,7 pat ctrl KI67 (561)_0004_C001T001_colony_17.tiff,1546,147.439,0.894,394230,394230,1.226,0.815,0.965
70,7 pat ctrl KI67 (561)_0004_C001T001_colony_19.tiff,1563,146.610,0.914,398565,398565,1.048,0.954,0.968
71,7 pat ctrl KI67 (561)_0004_C001T001_colony_2.tiff,1584,148.711,0.900,403920,403920,1.244,0.804,0.970
72,7 pat ctrl KI67 (561)_0004_C001T001_colony_21.tiff,1744,157.539,0.883,444720,444720,1.287,0.777,0.967
73,7 pat ctrl KI67 (561)_0004_C001T001_colony_22.tiff,2391,186.995,0.859,609705,609705,1.434,0.697,0.966
74,7 pat ctrl KI67 (561)_0004_C001T001_colony_23.tiff,1932,167.196,0.868,492660,492660,1.435,0.697,0.971
75,7 pat ctrl KI67 (561)_0004_C001T001_colony_24.tiff,1529,146.853,0.891,389895,389895,1.339,0.747,0.967
76,7 pat ctrl KI67 (561)_0004_C001T001_colony_25.tiff,2080,171.439,0.889,530400,530400,1.318,0.758,0.969
77,7 pat ctrl KI67 (561)_0004_C001T001_colony_3.tiff,3828,234.551,0.874,976140,976140,1.255,0.797,0.974
78,7 pat ctrl KI67 (561)_0004_C001T001_colony_4.tiff,2467,192.510,0.837,629085,629085,1.578,0.634,0.970
79,7 pat ctrl KI67 (561)_0004_C001T001_colony_5.tiff,2149,175.924,0.873,547995,547995,1.388,0.721,0.970
80,7 pat ctrl KI67 (561)_0004_C001T001_colony_6.tiff,2230,177.095,0.894,568650,568650,1.258,0.795,0.972
81,7 pat ctrl KI67 (561)_0004_C001T001_colony_7.tiff,2663,199.924,0.837,679065,679065,1.468,0.681,0.954
82,7 pat ctrl KI67 (561)_0004_C001T001_colony_8.tiff,2087,172.309,0.883,532185,532185,1.253,0.798,0.964
83,7 pat ctrl KI67 (561)_0005_C001T001_colony_10.tiff,1764,159.439,0.872,449820,449820,1.269,0.788,0.962
84,7 pat ctrl KI67 (561)_0005_C001T001_colony_11.tiff,2126,176.409,0.858,542130,542130,1.290,0.775,0.961
85,7 pat ctrl KI67 (561)_0005_C001T001_colony_12.tiff,2032,174.610,0.838,518160,518160,1.582,0.632,0.966
86,7 pat ctrl KI67 (561)_0005_C001T001_colony_13.tiff,1909,164.853,0.883,486795,486795,1.131,0.884,0.966
87,7 pat ctrl KI67 (561)_0005_C001T001_colony_2.tiff,2244,177.924,0.891,572220,572220,1.356,0.738,0.974
88,7 pat ctrl KI67 (561)_0005_C001T001_colony_3.tiff,1800,161.095,0.872,459000,459000,1.349,0.741,0.966
89,7 pat ctrl KI67 (561)_0005_C001T001_colony_4.tiff,2073,173.196,0.868,528615,528615,1.496,0.668,0.974
90,7 pat ctrl KI67 (561)_0005_C001T001_colony_5.tiff,2363,185.681,0.861,602565,602565,1.365,0.733,0.969
91,7 pat ctrl KI67 (561)_0005_C001T001_colony_6.tiff,1775,162.995,0.840,452625,452625,1.622,0.617,0.963
92,7 pat ctrl KI67 (561)_0005_C001T001_colony_7.tiff,2318,180.652,0.893,591090,591090,1.158,0.864,0.968
93,7 pat ctrl KI67 (561)_0005_C001T001_colony_8.tiff,2001,169.439,0.876,510255,510255,1.270,0.787,0.966
94,7 pat ctrl KI67 (561)_0005_C001T001_colony_9.tiff,2290,179.581,0.892,583950,583950,1.260,0.794,0.969
95,7 pat ctrl KI67 (561)_0006_C001T001_colony_10.tiff,1473,143.681,0.897,375615,375615,1.272,0.786,0.967
96,7 pat ctrl KI67 (561)_0006_C001T001_colony_11.tiff,2008,169.581,0.877,512040,512040,1.450,0.690,0.972
97,7 pat ctrl KI67 (561)_0006_C001T001_colony_12.tiff,1869,164.167,0.871,476595,476595,1.384,0.723,0.964
98,7 pat ctrl KI67 (561)_0006_C001T001_colony_13.tiff,2132,180.894,0.819,543660,543660,1.623,0.616,0.959
99,7 pat ctrl KI67 (561)_0006_C001T001_colony_14.tiff,2522,196.551,0.820,643110,643110,1.765,0.567,0.970
100,7 pat ctrl KI67 (561)_0006_C001T001_colony_15.tiff,1553,151.681,0.848,396015,396015,1.433,0.698,0.951
101,7 pat ctrl KI67 (561)_0006_C001T001_colony_16.tiff,2384,184.309,0.882,607920,607920,1.241,0.806,0.967
102,7 pat ctrl KI67 (561)_0006_C001T001_colony_17.tiff,1868,163.095,0.882,476340,476340,1.321,0.757,0.970
