 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
298,7 pat p30 7 day ctrl 10x 2_colony_313.tiff,260,59.355,21.596,15.329,28.468,0.927,66300,66300,1.409,0.710,0.947
299,7 pat p30 7 day ctrl 10x 2_colony_314.tiff,219,54.770,18.157,15.357,83.348,0.917,55845,55845,1.182,0.846,0.924
300,7 pat p30 7 day ctrl 10x 2_colony_315.tiff,192,50.870,17.562,13.920,163.951,0.932,48960,48960,1.262,0.793,0.943
301,7 pat p30 7 day ctrl 10x 2_colony_317.tiff,226,56.184,19.359,14.864,75.084,0.900,57630,57630,1.302,0.768,0.921
302,7 pat p30 7 day ctrl 10x 2_colony_318.tiff,287,62.426,21.299,17.157,121.740,0.925,73185,73185,1.241,0.806,0.938
303,7 pat p30 7 day ctrl 10x 2_colony_319.tiff,271,60.527,21.046,16.395,177.421,0.930,69105,69105,1.284,0.779,0.948
304,7 pat p30 7 day ctrl 10x 2_colony_320.tiff,175,48.527,15.910,14.005,50.008,0.934,44625,44625,1.136,0.880,0.919
305,7 pat p30 7 day ctrl 10x 2_colony_321.tiff,210,54.527,19.904,13.433,178.838,0.888,53550,53550,1.482,0.675,0.929
306,7 pat p30 7 day ctrl 10x 2_colony_322.tiff,272,60.770,20.588,16.821,123.911,0.926,69360,69360,1.224,0.817,0.940
307,7 pat p30 7 day ctrl 10x 2_colony_323.tiff,378,71.598,25.059,19.206,4.864,0.927,96390,96390,1.305,0.766,0.952
308,7 pat p30 7 day ctrl 10x 2_colony_324.tiff,262,59.355,20.297,16.435,77.157,0.935,66810,66810,1.235,0.810,0.946
309,7 pat p30 7 day ctrl 10x 2_colony_325.tiff,208,53.355,17.971,14.736,142.266,0.918,53040,53040,1.220,0.820,0.922
310,7 pat p30 7 day ctrl 10x 2_colony_326.tiff,237,55.355,19.210,15.708,166.996,0.972,60435,60435,1.223,0.818,0.950
311,7 pat p30 7 day ctrl 10x 2_colony_327.tiff,228,55.941,19.875,14.606,169.020,0.916,58140,58140,1.361,0.735,0.934
312,7 pat p30 7 day ctrl 10x 2_colony_328.tiff,215,54.527,17.962,15.240,104.807,0.909,54825,54825,1.179,0.848,0.931
313,7 pat p30 7 day ctrl 10x 2_colony_329.tiff,242,57.355,19.718,15.626,87.984,0.924,61710,61710,1.262,0.792,0.931
314,Drawing of 7 pat p30 7 day ctrl 10x 2_colony_329.tiff,151,143.012,14.873,12.926,90.751,0.093,38505,38505,1.151,0.869,0.328
315,Drawing of 7 pat p30 7 day ctrl 10x 2_colony_329.tiff,6,7.657,3.385,2.257,90.000,1.000,1530,1530,1.500,0.667,1.000
316,Drawing of 7 pat p30 7 day ctrl 10x 2_colony_329.tiff,80,33.456,10.612,9.599,173.959,0.898,20400,20400,1.106,0.905,0.884
317,7 pat p30 7 day ctrl 10x 2_colony_331.tiff,286,62.426,21.472,16.959,37.116,0.922,72930,72930,1.266,0.790,0.936
318,7 pat p30 7 day ctrl 10x 2_colony_332.tiff,199,51.941,18.224,13.903,160.906,0.927,50745,50745,1.311,0.763,0.926
319,7 pat p30 7 day ctrl 10x 2_colony_333.tiff,223,55.355,18.683,15.198,44.765,0.915,56865,56865,1.229,0.813,0.933
320,7 pat p30 7 day ctrl 10x 2_colony_334.tiff,239,57.355,19.945,15.257,109.945,0.913,60945,60945,1.307,0.765,0.939
321,7 pat p30 7 day ctrl 10x 2_colony_335.tiff,299,65.012,23.494,16.204,12.200,0.889,76245,76245,1.450,0.690,0.934
322,7 pat p30 7 day ctrl 10x 2_colony_336.tiff,209,53.941,17.794,14.955,66.804,0.903,53295,53295,1.190,0.840,0.923
323,7 pat p30 7 day ctrl 10x 2_colony_337.tiff,201,52.284,17.826,14.356,65.712,0.924,51255,51255,1.242,0.805,0.939
324,7 pat p30 7 day ctrl 10x 2_colony_338.tiff,206,51.698,18.085,14.503,114.656,0.969,52530,52530,1.247,0.802,0.947
325,7 pat p30 7 day ctrl 10x 2_colony_339.tiff,212,53.698,18.853,14.318,160.826,0.924,54060,54060,1.317,0.759,0.938
326,7 pat p30 7 day ctrl 10x 2_colony_340.tiff,196,50.527,16.824,14.833,97.346,0.965,49980,49980,1.134,0.882,0.938
